yr,escapement
1971,17495
1972,15777
1973,10321
1974,8457
1975,2141
1976,4299
1977,6570
1978,5751
1979,4913
1980,13285
1981,6977
1982,5448
1983,3909
1984,9148
1985,13764
1986,10098
1987,6065
1988,12363
1989,4118
1990,7681
1991,1835
1992,3131
1993,2381
1994,4249
1995,2680
1996,1316
1997,3906
1998,2903
1999,5680
2000,3149
2001,10175
2002,10510
2003,6385
2004,7831
2005,4398
2006,3020
2007,3281
2008,2477
2009,1996
2010,4598
2011,4548
2012,4468
2013,3422
2014,4402
2015,2603
