year,harvest
1971,3302
1972,3846
1973,3583
1974,1926
1975,2525
1976,2756
1977,4103
1978,5793
1979,2369
1980,6744
1981,5156
1982,3972
1983,2369
1984,4230
1985,6076
1986,6513
1987,5489
1988,6978
1989,3444
1990,4224
1991,2594
1992,1896
1993,1252
1994,847
1995,1285
1996,345
1997,581
1998,606
1999,883
2000,1003
2001,2172
2002,2384
2003,1171
2004,1375
2005,935
2006,1061
2007,857
2008,1025
2009,891
2010,1652
2011,873
2012,1157
2013,1218
2014,717
