year,harvest
1978,4398
1979,1794
1980,1954
1981,2241
1982,3687
1983,1877
1984,3123
1985,2510
1986,2708
1987,6442
1988,8528
1989,9367
1990,10834
1991,8311
1992,7379
1993,8161
1994,4273
1995,3013
1996,3909
1997,3443
1998,5097
1999,5667
2000,4644
2001,5743
2002,12587
2003,11032
2004,13268
2005,4564
2006,5745
2007,2188
2008,295
2009,3161
2010,9732
2011,4928
2012,5070
2013,2322
2014,3451
