model,life_stage,variable,begin,end,lag,WAIC,d_WAIC,wt_numer,wt_WAIC,linr_lo,linr_med,linr_up,quad_lo,quad_med,quad_up
B-H,rearing,Max,1-Jul,30-Sep,1,294,11.7,0.00,0.001,-0.27,0.11,0.55,-0.15,0.26,0.69
B-H,2+ outmigrants,Max,1-Feb,30-Apr,2,294.2,11.9,0.00,0.001,-0.72,-0.3,0.06,-0.06,0.27,0.69
B-H,prespawn,Min,1-Apr,30-Apr,0,294.3,12,0.00,0.001,-0.28,0.5,1.38,-0.9,-0.34,0.19
Ricker,rearing,Range,1-Jul,30-Sep,1,294.4,12.1,0.00,0.001,-0.38,0.13,0.71,-0.28,0.15,0.59
B-H,1+ outmigrants,Median,1-Apr,30-Jun,1,294.5,12.2,0.00,0.001,-0.27,0.31,0.8,-0.61,-0.15,0.36
B-H,prespawn,Min,1-Apr,30-Jun,0,294.9,12.6,0.00,0.001,-0.28,0.24,0.79,-0.69,-0.16,0.36
B-H,1+ outmigrants,Min,1-May,31-May,1,294.9,12.6,0.00,0.001,-0.6,0.09,0.81,-0.33,0.07,0.46
B-H,prespawn,Min,1-May,31-May,0,295.3,13,0.00,0.000,-0.4,0.32,1.05,-0.8,-0.26,0.2
B-H,rearing,Range,1-Jul,30-Sep,1,295.3,13,0.00,0.000,-0.38,0.09,0.6,-0.2,0.18,0.6
B-H,1+ outmigrants,Min,1-Apr,30-Jun,1,296.4,14.1,0.00,0.000,-0.35,0.13,0.56,-0.34,0.11,0.53
B-H,prespawn,Median,1-Apr,30-Jun,0,296.6,14.3,0.00,0.000,-0.6,0.04,0.66,-0.37,0.12,0.67
B-H,2+ outmigrants,Range,1-Feb,30-Apr,2,297.9,15.6,0.00,0.000,-0.74,-0.37,-0.01,0.01,0.35,0.75
Ricker,prespawn,Min,1-Apr,30-Apr,0,298.8,16.5,0.00,0.000,-0.36,0.58,1.51,-0.85,-0.23,0.52
Ricker,prespawn,Median,1-Jul,30-Sep,0,300.2,17.9,0.00,0.000,-0.28,0.17,0.63,-0.22,0.11,0.49
Ricker,2+ outmigrants,Max,1-Feb,30-Apr,2,300.5,18.2,0.00,0.000,-0.74,-0.39,-0.03,-0.01,0.31,0.66
Ricker,2+ outmigrants,Range,1-Feb,30-Apr,2,300.9,18.6,0.00,0.000,-0.75,-0.42,-0.07,0.05,0.36,0.73
B-H,prespawn,Median,1-Jul,30-Sep,0,301.8,19.5,0.00,0.000,-0.14,0.28,0.73,-0.24,0.06,0.38
Ricker,prespawn,Min,1-Jul,30-Sep,0,301.9,19.6,0.00,0.000,0.01,0.39,0.78,-0.08,0.2,0.62
B-H,prespawn,Min,1-Jul,30-Sep,0,303.1,20.8,0.00,0.000,0.1,0.49,0.88,-0.06,0.2,0.45
