"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,2985,6604,6788,6464,6530,5593,5593,6596,6845,6848,6596
1930,2384,5957,5848,5914,6060,5201,5819,5879,4997,6285,5879
1931,2195,6006,5848,6177,6146,5214,6082,5576,3941,4631,5576
1932,2961,6488,6491,6488,6491,5726,5726,6488,7347,7369,6488
1933,3664,6853,6896,6854,6973,5772,5774,6855,7488,7492,6855
1934,2560,4722,4886,4861,4886,5114,4742,4664,4922,5164,4664
1935,2910,6849,6979,6821,6833,5530,5583,6880,6978,6987,6880
1936,3225,6765,6753,6765,6766,5603,5625,6765,7019,7016,6765
1937,3718,7092,7092,7092,7092,5989,5989,7092,7739,7741,7092
1938,3069,6313,6569,6573,6541,5403,5429,6296,6660,6678,6296
1939,2809,6526,6465,6499,6463,5277,5448,6527,6357,6733,6527
1940,2186,5083,6051,5964,6112,5052,5083,5071,4002,4618,5071
1941,2831,4634,4634,4655,4643,4534,4634,4649,4989,5877,4649
1942,2633,5889,5928,5890,5917,5198,5378,5879,5098,6102,5879
1943,3946,6927,6896,6927,6973,6208,6208,6927,7885,7885,6927
1944,2536,6056,6100,5941,5962,5133,5370,5946,5025,6057,5946
1945,2798,6513,6491,6510,6586,5312,5412,6513,6687,6701,6513
1946,3235,6651,6590,6619,6802,5412,5452,6332,7161,7163,6332
1947,3658,6945,6947,6956,6960,5872,5872,6946,7242,7250,6946
1948,3787,6778,6778,6778,6787,6242,6245,6778,7716,7716,6778
1949,3373,6523,6510,6522,6510,5544,5544,6523,7267,7264,6523
1950,3459,6814,6875,6821,6872,5686,5686,6821,7442,7442,6821
1951,3104,6438,6585,6499,6417,5342,5390,6540,6650,6649,6540
1952,3453,6698,6766,6700,6779,5652,5660,6698,7384,7386,6698
1953,3963,6699,6844,6699,6844,5833,5833,6699,7518,7522,6699
1954,4221,6964,7132,7027,7114,5850,5844,7018,7493,7493,7018
1955,3294,7086,7122,7087,7147,5438,5453,7087,7184,7184,7087
1956,3713,6820,6919,6820,6860,5800,5801,6825,7534,7536,6825
1957,3101,6425,6464,6484,6485,5788,5813,6435,6706,6715,6435
1958,3426,6600,6714,6667,6877,5484,5546,6585,6907,6907,6585
1959,2951,6689,6729,6699,6712,5114,5178,6687,6427,6784,6687
1960,3283,6405,6430,6397,6399,5351,5420,6405,6578,6576,6405
1961,2927,5948,6265,5719,6053,5167,5167,5988,6575,6576,5988
1962,3228,6591,6618,6590,6630,5561,5561,6591,6622,6648,6591
1963,3046,6202,6265,6225,6444,5330,5320,6201,6901,6905,6201
1964,3612,6196,6246,6248,6512,5512,5512,6194,7128,7128,6194
1965,2755,6042,6119,6005,6066,5356,5373,6002,5827,6240,6002
1966,2233,6384,5787,6346,6191,4711,5347,6212,5279,6020,6212
1967,1729,5602,5453,5542,5556,4111,4686,5523,4919,6260,5523
1968,2611,5995,6133,5718,5967,4789,5462,5872,4657,6120,5872
1969,3312,6583,6747,6583,6747,5269,5287,6583,7005,7039,6583
1970,2502,6188,6190,6292,6291,4856,5005,6155,5582,6595,6155
1971,3926,6644,6627,6644,6627,5496,5496,6644,7244,7244,6644
1972,3492,6297,6744,6287,6449,5581,5581,6297,7097,7097,6297
1973,2431,4811,4872,4882,4884,4588,4803,4821,4438,5805,4821
1974,3428,6578,6577,6580,6590,5498,5498,6580,7350,7402,6580
1975,3364,6569,6676,6391,6650,5460,5460,6562,6860,6873,6562
1976,3857,6341,6352,6285,6524,5685,5871,6331,6728,6742,6331
1977,2063,5400,5566,5493,5342,4316,4852,5487,4279,5955,5487
1978,3070,5782,5860,5816,5866,5016,5245,5811,4852,6173,5811
1979,2704,6314,6320,6312,6343,4898,5315,6303,6437,6262,6303
1980,2492,6016,6103,6038,6142,4857,5091,6028,5738,6098,6028
1981,2530,6267,6376,6264,6262,5129,5219,6255,6120,6265,6255
1982,3708,6690,6781,6799,7109,5512,5527,6613,6919,6919,6613
1983,4543,7193,7199,7171,7164,6364,6364,7219,8112,8112,7219
1984,3682,6263,6806,6263,6806,5833,5835,6263,7565,7565,6263
1985,3610,6800,6818,6855,6653,5530,5630,6855,6625,6630,6855
1986,2831,6670,6629,6654,6674,5296,5382,6666,6661,6826,6666
1987,2365,4557,5130,4640,5015,4592,5189,4573,5099,5478,4573
1988,2194,6562,6687,6562,6660,4893,5304,6562,6324,6476,6562
1989,2503,6264,6339,6263,6383,5080,5080,6255,6380,6356,6255
1990,2327,6327,6420,6363,6465,4477,5160,6362,6288,6158,6362
1991,2051,5965,6203,6257,6479,4750,4856,5965,6292,6289,5965
1992,1878,4000,3980,4057,4015,4234,3996,3985,3893,4145,3985
1993,2874,7244,7223,7244,7222,5546,5633,7244,7310,7476,7244
1994,1485,3962,3962,3962,3962,3862,3962,3962,3804,4715,3962
1995,2027,6186,6409,6237,6424,4721,5029,6169,6265,6218,6169
1996,3073,6544,6561,6562,6598,5369,5373,6544,6817,6817,6544
1997,4949,7988,7905,7987,7987,7093,7093,7988,8604,8604,7988
1998,2672,6492,6539,6411,6438,5335,5481,6482,6385,6384,6482
1999,2690,6684,6859,6689,6781,5452,5454,6684,7216,7216,6684
2000,3229,6763,6784,6763,6793,5369,5370,6763,6927,6928,6763
2001,2557,5449,5418,5699,5521,4778,5892,5670,4913,6158,5670
2002,2401,6498,6497,6548,6531,4568,5298,6507,6357,6198,6507
2003,2287,6672,6680,6703,6265,4646,5775,6710,6405,6211,6710
2004,3237,6739,6668,6736,6687,5247,5742,6736,6151,6229,6736
2005,2805,6632,6596,6672,6663,5019,5625,6652,6159,6315,6652
2006,2666,6695,6695,6733,6715,4906,5259,6694,6414,6443,6694
2007,2566,6242,5932,6387,6058,4446,5414,5851,6122,6843,5851
