"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,16628,16300,16252,16300,16241,16300,16300,16300,16311,16311,16300
1930,19116,15670,15670,15670,15670,15670,15670,15670,15395,15395,15670
1931,15828,14975,14819,15320,14991,15541,14993,14992,15156,15186,14992
1932,34766,26988,26988,26988,26988,27257,26988,26988,26951,26951,26988
1933,34386,33951,33686,33951,33657,33854,33854,33951,33370,33370,33951
1934,21680,19337,19337,19337,19337,20333,19470,19337,20039,20039,19337
1935,34853,32926,32928,32926,32926,33365,32928,32926,32981,32981,32926
1936,22596,19592,19392,19592,19592,19611,19475,19265,19049,19049,19265
1937,13905,13905,13905,13905,13905,13905,13905,13905,13905,13905,13905
1938,46681,48184,48143,48184,48169,49406,49406,48229,47530,47530,48229
1939,26144,25720,25737,26791,26785,27038,26163,25919,24195,24195,25919
1940,23599,22570,22570,22570,22570,22570,22570,22570,22416,22416,22570
1941,18305,17843,17875,17848,17842,20394,17870,17843,18285,18261,17843
1942,28856,29993,30024,30035,30040,30704,30019,30040,30204,30436,30040
1943,46291,51798,51830,51798,51798,51830,51830,51798,51979,52303,51798
1944,18438,18022,18022,18022,18022,18022,18022,18022,17922,17922,18022
1945,19411,17153,17153,17153,17153,17153,17153,17153,17579,17579,17153
1946,45442,43853,43860,43853,43853,43859,43860,43853,43691,43666,43853
1947,32541,31039,31039,31039,31039,31039,31039,31039,31223,31223,31039
1948,34633,34010,34012,34010,34010,34012,34012,34010,33999,33848,34010
1949,32596,31791,31791,31791,31791,31791,31791,31791,31790,31790,31791
1950,38974,41180,41183,41180,41180,41183,41183,41180,39066,39066,41180
1951,53081,56402,56392,56402,56403,56392,56392,56403,56389,56390,56403
1952,37077,38160,38170,38146,38146,38141,38141,38159,37960,37963,38159
1953,29922,26880,26880,26880,26880,26880,26880,26880,27339,27339,26880
1954,50859,50089,50119,50089,50086,50122,50119,50086,50110,50107,50086
1955,22695,22095,22160,22161,22164,22160,22160,22164,22080,22080,22164
1956,63532,57045,57062,57045,57077,57031,57062,57076,58038,58038,57076
1957,21540,25408,25473,25408,25408,25474,25473,25408,25234,25234,25408
1958,35036,39221,39173,39221,39221,39173,39173,39221,40431,40431,39221
1959,37266,36030,36027,36932,36030,36890,36027,36030,36589,36589,36030
1960,19661,19569,19569,19569,19569,19569,19569,19190,18803,18803,19190
1961,43035,44400,44400,44400,44400,44400,44400,44382,44044,44043,44382
1962,28311,25431,25431,25431,25431,25431,25431,25431,26358,26358,25431
1963,22365,21897,21885,21897,21897,21885,21885,21897,22126,22126,21897
1964,35442,31609,31563,31609,31609,31563,31563,31609,31356,31242,31609
1965,43507,53042,53040,53049,53045,53050,53051,53049,52888,52601,53049
1966,21511,19493,19938,21010,20458,21154,20950,19348,19184,19369,19348
1967,30010,29107,29107,29107,29107,29107,29107,29107,28978,28978,29107
1968,25681,25294,25263,25562,25261,25579,25597,25558,25578,25623,25558
1969,45465,47901,47901,47901,47901,47901,47901,47901,48192,48442,47901
1970,32508,27155,27154,27155,27155,27154,27154,27155,26437,26437,27155
1971,44417,43698,43463,43789,43690,43791,43819,43464,43378,43378,43464
1972,55023,54883,54935,54883,54939,54844,54930,54942,54879,54927,54942
1973,20532,17305,16892,17305,16991,17343,17014,17337,16769,16697,17337
1974,65969,64662,64636,64630,64680,65025,64613,64715,63049,63336,64715
1975,46616,41999,42039,41999,41999,42039,42039,41999,41617,41617,41999
1976,37510,38384,38232,38384,38380,38399,38399,38379,38141,38140,38379
1977,5661,6642,6642,6642,6642,6642,6642,6642,6643,6643,6642
1978,38392,39391,37822,39882,39739,39696,39683,39743,39056,37720,39743
1979,23085,22900,22896,22900,22900,22896,22896,22900,22611,23028,22900
1980,26857,24789,24790,24927,24794,24941,24941,24794,24831,24832,24794
1981,19996,19671,20399,21052,20398,21190,21067,19671,19923,19923,19671
1982,48259,50570,50625,50570,50570,50625,50570,50570,50204,50204,50570
1983,43542,43440,43439,43440,43440,43439,43439,43440,44101,44101,43440
1984,43090,41519,41520,41519,41519,41521,41521,41519,41519,41519,41519
1985,27356,26607,26607,26607,26607,26607,26607,26607,26744,26744,26607
1986,30234,31539,31646,31710,31546,31627,31648,31555,30435,30435,31555
1987,27714,25661,25489,25661,25492,25661,25661,25661,25188,25188,25661
1988,22191,18672,18671,18670,18671,18673,18671,18670,18814,18814,18670
1989,31680,30667,30668,30667,30667,30691,30668,30667,29412,29412,30667
1990,29995,25352,25587,25352,25313,25354,25353,25542,25901,25901,25542
1991,28239,27964,26717,27964,26624,27947,26789,26757,25951,25810,26757
1992,20705,20453,20313,20453,20453,20453,20313,20453,20313,20189,20453
1993,31188,28964,28964,28964,28964,29692,28964,28964,29033,29033,28964
1994,16892,15606,15606,15606,15606,15606,15606,15606,15207,15207,15606
1995,36946,34339,34339,34339,34339,35627,34339,34339,34318,34318,34339
1996,56261,57772,57777,57998,57493,57991,57443,57444,57772,57452,57444
1997,53119,58944,59521,58944,59529,59750,59710,59171,58944,58971,59171
1998,30385,28788,28748,28788,28788,28788,28748,28788,29215,29215,28788
1999,55299,53722,53722,53722,53722,53722,53722,53722,53709,53722,53722
2000,40643,36491,36480,36491,36491,36480,36480,36491,36527,36527,36491
2001,11277,12170,12183,12386,12386,12386,12189,12165,11996,11970,12165
2002,37001,34727,34716,34716,34727,35367,34727,34748,35244,35244,34748
2003,31291,28051,28044,28051,28051,28044,28044,28051,28607,28607,28051
2004,32429,31816,31822,31928,31838,32081,32081,31822,30525,30510,31822
2005,11418,13493,13493,13493,13493,13493,13493,13493,13499,13499,13493
2006,26444,27636,25848,28512,27880,28547,28555,27193,24674,24350,27193
2007,45305,39460,39403,39460,39460,39644,39403,39460,39907,39907,39460
