"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1974,20704,19695,19698,19697,19698,19697,19695,19695,19684,19603,19695
1975,19151,18114,18480,18300,18300,18300,18114,18116,19214,19658,18116
1976,13008,16498,17133,14199,15202,12347,16498,16505,17288,17352,16505
1977,19973,15941,16631,14513,14515,15512,15940,14611,14265,13712,14611
1978,15325,15017,14940,12454,12487,12447,15018,13154,12979,11538,13154
1979,13147,16415,17476,14265,14693,13129,16415,16501,18241,18124,16501
1980,10483,12376,11873,12901,11985,9490,12344,12260,12405,12217,12260
1981,11933,15288,15254,13386,13815,10928,15276,14851,13644,13333,14851
1982,16443,14795,15841,14543,14951,14424,14802,16359,17931,17955,16359
1983,18414,15551,16010,15056,15500,14455,15552,16587,17652,18692,16587
1984,24577,23507,23507,23507,23507,23507,23507,23507,23554,23185,23507
1985,14700,14582,14904,13595,14356,11760,14612,14263,14813,14436,14263
1986,14225,14866,14746,13495,14113,13570,14866,14495,14751,14460,14495
1987,7216,10325,9755,10824,9641,8073,10411,10401,9559,9742,10401
1988,16080,16042,16826,15477,15494,15475,16042,16042,17093,17483,16042
1989,12051,15422,15314,14547,16068,11846,15422,14650,14040,13672,14650
1990,10877,13580,13504,13492,14261,10527,14176,13281,13488,12940,13281
1991,18540,15462,16221,14856,15826,13396,15463,16625,18186,17690,16625
1992,5864,9893,9328,10200,9722,7436,9893,10072,8806,8797,10072
1993,24382,23440,23552,23398,23398,23398,23440,23440,24296,24998,23440
1994,8060,10585,10204,10601,10042,7815,10578,10588,10080,9095,10588
1995,12630,16488,17031,14129,15081,12581,16490,16503,18368,17383,16503
1996,15922,15278,16897,14425,14969,13735,15287,16391,18125,19576,16391
1997,14896,15509,16684,14872,14873,14870,15508,15509,17352,19087,15509
1998,15473,14124,14594,14682,14770,12115,14098,14154,14238,14044,14154
1999,25930,23313,23520,23682,23491,23684,23315,23003,22977,22917,23003
2000,17798,15582,16444,15333,15994,15321,15581,16549,18325,18441,16549
2001,10077,11521,11073,11946,10995,8768,11537,11501,10546,9206,11501
2002,13652,14948,14909,13730,14553,11571,14905,14407,14967,14377,14407
2003,13105,15214,15714,13790,14693,12638,15231,15550,15887,14639,15550
2004,12122,12403,12190,12359,12086,9764,12414,12405,12621,12264,12405
2005,15928,15187,15994,14295,14409,11255,15194,15187,15622,15880,15187
2006,15597,13859,13800,13936,12801,10494,14160,13229,14632,14584,13229
2007,9146,11354,11309,11353,11305,9468,11338,11382,11776,12010,11382
