"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1970,23774,18265,18392,18033,18392,17520,18265,18265,18755,19230,18265
1971,39834,36867,36873,36867,36868,36873,36873,36868,36091,36092,36868
1972,50113,42061,42017,42061,42064,42015,42016,42063,42217,42218,42063
1973,20473,16229,16318,16139,16229,15756,16229,16229,15570,14946,16229
1974,52079,44046,44047,44046,44046,44047,44047,44046,44760,44843,44046
1975,33462,29567,29568,29567,29567,29568,29568,29567,29840,29840,29567
1976,31871,24303,24297,24303,24303,24297,24297,24303,24498,24498,24303
1977,17654,14775,14615,14722,14615,14464,14858,14775,13895,13296,14775
1978,15917,14957,14793,14680,14707,13004,14956,14958,13885,13110,14958
1979,41425,32825,32850,32825,32825,32850,32850,32825,33189,32198,32825
1980,27147,20070,20001,20070,20169,20001,20070,20070,20574,20636,20070
1981,25069,18553,18552,18553,18553,18552,18552,18553,18657,18657,18553
1982,34515,28668,28675,28668,28668,28675,28675,28668,27934,27980,28668
1983,49946,41377,41353,41377,41378,41352,41353,41378,41409,41411,41378
1984,43326,35510,35500,35510,35510,35500,35500,35510,35472,35473,35510
1985,26056,19554,19242,18849,19385,18642,19554,19554,19203,19871,19554
1986,27252,20678,20692,20678,20678,20692,20692,20678,21324,21324,20678
1987,24776,18992,18992,18992,18992,18992,18992,18992,18561,18561,18992
1988,27302,19722,19665,19664,19664,19662,19723,19722,20159,20197,19722
1989,38103,29576,29587,29576,29576,29587,29587,29576,29576,29576,29576
1990,32175,25042,25046,25042,25042,25046,25046,25042,25348,25728,25042
1991,30345,22438,22433,22438,22438,22261,22433,22438,23265,23282,22438
1992,17326,14606,14606,14288,14492,13851,14606,14606,14398,13724,14606
1993,41498,33684,33661,33684,33668,33677,33661,33668,33717,33853,33668
1994,20807,16483,16798,16483,16483,16483,16483,16483,15883,15883,16483
1995,31342,25444,25493,25444,25493,25493,25440,25444,25649,25939,25444
1996,37245,31070,31794,31080,31958,31439,31642,31915,31249,32630,31915
1997,36810,33494,33448,33501,33489,33460,33447,33492,33924,33917,33492
1998,29585,23546,23390,23546,23546,23390,23390,23546,24160,24160,23546
1999,32410,26403,26403,26403,26402,26405,26403,26402,26297,26297,26402
2000,32644,25135,25135,25135,25135,25208,25135,25135,25473,25473,25135
2001,16976,12505,12505,12505,12505,12386,12505,12505,12100,11976,12505
2002,34031,24824,24828,24824,24824,24828,24828,24824,25387,25055,24824
2003,40739,33630,33699,33630,33631,33699,33699,33631,32855,32856,33631
2004,24614,17794,17781,17370,17650,16643,17795,17794,17975,18025,17794
2005,11424,9546,9546,9546,9546,9546,9546,9546,9853,9853,9546
2006,26003,20125,20065,20125,20065,20065,20065,20065,20815,20832,20065
2007,29919,23798,23757,23798,23760,23757,23796,23798,23112,23112,23798
