"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,23651,18561,18100,18478,18100,17865,18563,18561,18956,20592,18561
1930,18691,15669,16048,15228,15909,14360,15670,15669,14955,13685,15669
1931,19885,17400,16348,16348,16348,16195,17399,17400,17545,16802,17400
1932,36935,27320,27320,27320,27320,27320,27320,27320,27551,27551,27320
1933,36438,29080,29076,29080,29080,29076,29076,29080,29300,29300,29080
1934,17278,15337,15294,14403,15082,13463,15326,15337,14569,12918,15337
1935,30831,23448,23448,23448,23448,23448,23448,23448,23812,23812,23448
1936,27286,20105,20071,20074,20074,20071,20112,20105,20416,20468,20105
1937,44501,36854,36848,36854,36854,36848,36848,36854,37139,37139,36854
1938,42992,33158,33160,33158,33158,33160,33160,33158,33491,33491,33158
1939,29328,22949,22933,22949,22949,22933,22933,22949,22417,22417,22949
1940,41046,34401,34397,34401,34401,34397,34397,34401,34194,34194,34401
1941,11337,10700,10643,10700,10678,10182,10719,10700,9956,9934,10700
1942,17919,14815,14841,14813,14841,14524,14814,14815,14288,14288,14815
1943,33152,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319
1944,21795,16683,17677,16560,17686,16499,16682,16683,16230,15834,16683
1945,41013,32716,32678,32716,32716,32678,32678,32716,32426,32426,32716
1946,31110,24467,24465,24467,24467,24465,24465,24467,24061,24061,24467
1947,33522,25898,25898,25898,25898,25898,25898,25898,25576,25576,25898
1948,34811,27716,27715,27716,27716,27715,27715,27716,27351,27351,27716
1949,32577,26275,26284,26273,26273,26284,26286,26275,26095,26236,26275
1950,53482,46502,46494,46502,46502,46495,46494,46502,46868,46868,46502
1951,32772,24828,24822,24828,24828,24822,24822,24828,26239,26239,24828
1952,34392,26211,26210,26211,26211,26210,26210,26211,26776,26776,26211
1953,30293,23147,23144,23147,23147,23144,23144,23147,23710,24147,23147
1954,38009,29772,29772,29772,29764,29780,29779,29772,30253,30011,29772
1955,32649,25358,25340,25358,25358,25340,25340,25358,25747,25747,25358
1956,39478,32627,32630,32627,32627,32629,32630,32627,32880,32880,32627
1957,38806,31645,31643,31645,31645,31643,31643,31645,31573,31578,31645
1958,32323,24847,25291,24223,25244,24195,24847,24847,25273,25868,24847
1959,28763,21793,21793,21793,21793,21793,21793,21793,22199,22246,21793
1960,44550,37369,37377,37369,37369,37377,37377,37369,37967,37967,37369
1961,60034,50112,50114,50112,50112,50114,50114,50112,50112,50112,50112
1962,30530,23405,23405,23405,23405,23405,23405,23405,23973,23973,23405
1963,34749,28843,28821,28843,28843,28821,28821,28843,29206,29206,28843
1964,25709,19535,19301,19468,19305,19301,19536,19535,19819,19974,19535
1965,20500,16160,16112,16030,15954,14311,16165,16166,15771,15672,16166
1966,27367,20286,20106,20084,20108,20037,20285,20286,20883,21205,20286
1967,22694,17300,17581,17163,17147,17147,17304,17309,17122,17122,17309
1968,22483,17897,17897,17897,17897,17895,17897,17897,17346,17445,17897
1969,29568,21248,21335,21248,21338,21335,21213,21248,22223,22281,21248
