"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,37790,24509,24708,24534,24585,25362,24507,24513,25485,25734,24513
1930,12906,7963,9625,7620,9575,6513,7954,7943,6636,7424,7943
1931,115129,79027,78905,78960,78631,79142,78881,78443,78298,78830,78443
1932,34620,28480,28517,28480,28480,28518,28518,28480,28425,28870,28480
1933,42361,46176,47455,47380,47674,47715,45954,46177,45969,45307,46177
1934,39694,22573,22162,21908,21998,22862,22517,21907,21658,21626,21907
1935,25259,16156,15474,16288,16190,16279,16146,16165,14889,14411,16165
1936,25573,15558,15791,15750,15749,15750,15556,15394,14182,13353,15394
1937,116180,96284,96295,96284,96284,96296,96295,96284,91720,91895,96284
1938,43899,34614,33958,34911,34904,34881,34400,34380,34887,35010,34380
1939,18136,11234,10793,11941,11446,11045,11240,11185,9307,9149,11185
1940,32098,21769,21607,22030,21898,23634,21830,21692,21551,21833,21692
1941,15906,9201,9575,8577,8943,8675,9167,8624,8860,8492,8624
1942,23247,11888,12226,12245,12598,12914,11886,12078,10572,11551,12078
1943,60688,50619,51158,50844,50687,51606,50939,50753,48400,47923,50753
1944,31070,20602,20705,20624,20654,21041,20598,20602,18722,21006,20602
1945,45316,40433,39800,40977,40946,40977,40452,40434,38901,37898,40434
1946,14803,7584,7109,7500,6590,6982,7582,7685,8186,9997,7685
1947,41785,32670,32459,32721,32668,32906,32663,32670,30238,29587,32670
1948,29812,23962,24132,23955,23955,23965,23972,23944,23614,23519,23944
1949,59053,50139,50985,50624,50909,50910,50120,50139,49993,48715,50139
1950,27894,21308,21322,21331,21331,21322,21299,21254,21269,21223,21254
1951,24078,14691,14847,17199,15127,17630,14695,14572,12409,12766,14572
1952,27995,19673,19920,19561,19561,19571,19683,19673,17537,17620,19673
1953,31507,30560,30593,30593,30593,30593,30573,30560,29774,27900,30560
1954,37634,26139,26658,25122,26409,26293,26081,26139,24959,26174,26139
1955,42664,32716,32718,32716,32716,32718,32718,32716,32918,32918,32716
1956,26432,19204,19236,19204,19227,19197,19237,19229,19487,19487,19229
1957,39981,31667,31160,31779,32026,31784,31672,31667,30614,30462,31667
1958,56057,35710,37940,35497,37751,37740,35773,35667,34018,33435,35667
1959,44488,30631,30266,31328,31235,31156,30620,30630,30006,29803,30630
1960,60597,53268,53133,53291,53289,53230,53206,53265,50763,49487,53265
1961,28943,20855,20039,21520,21343,21537,20861,20982,19148,19314,20982
1962,43004,26630,26648,26630,26630,26622,26622,26630,28886,28393,26630
1963,77883,64723,64384,64695,64550,65147,64745,64724,62715,62390,64724
1964,16074,14964,14484,15148,15370,18022,14980,14143,10467,12250,14143
1965,31148,14417,14549,14187,14234,13923,14417,13932,12357,12790,13932
1966,31811,15943,15744,16657,16302,18197,15937,15932,17809,18221,15932
1967,16024,8905,9374,8681,8687,8745,8907,8959,7636,7549,8959
1968,16540,9629,9824,8466,8382,8484,9678,8601,8799,10196,8601
1969,25331,20075,19784,20462,19802,20570,20091,19766,15457,15111,19766
1970,23510,11121,11337,12316,12028,14466,11104,11338,10282,11295,11338
1971,38732,32241,32250,32241,32241,32250,32250,32241,32185,32324,32241
1972,41501,33961,33970,33931,33935,33937,33972,33965,34089,33644,33965
1973,19162,9706,9747,9523,9390,10470,9706,9527,8587,8749,9527
