"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1974,59313,52603,52612,52603,52602,52604,52612,52602,52633,52703,52602
1975,24089,16267,18470,17569,18289,18704,16275,15978,15351,15144,15978
1976,45670,36221,36461,36394,36353,36371,36214,36221,36054,35279,36221
1977,21009,12332,12797,11794,12362,12732,12331,11758,9571,11248,11758
1978,27745,17076,17166,17047,17040,17023,17076,17064,15056,16595,17064
1979,42931,33035,32936,34186,33852,35169,33041,33010,32319,31615,33010
1980,29082,19223,19368,19103,21850,19431,19156,19044,17065,18499,19044
1981,25988,18114,19598,17930,18191,20578,18109,18106,21401,21583,18106
1982,54055,42937,43157,42881,42949,42888,42964,42938,38885,38560,42938
1983,63030,56873,57159,56711,56869,56607,56873,56875,56483,56188,56875
1984,37805,38337,38958,39820,38964,40049,38330,38328,38281,35575,38328
1985,34445,20717,20026,20698,20749,20668,20599,20500,18544,18133,20500
1986,22514,10083,10374,11415,11155,13006,10085,10255,10053,10853,10255
1987,14452,8506,11536,7530,11125,8342,8576,8202,8558,6424,8202
1988,35490,25561,25242,25586,25589,25500,25475,25561,25355,23211,25561
1989,39367,30963,30458,32072,31493,32195,30928,30969,29939,30070,30969
1990,54001,36280,36295,36556,37231,45269,36419,36443,31733,31968,36443
1991,40927,37218,35137,39058,35965,39203,37211,36076,31507,31230,36076
1992,42946,21711,22107,21647,22172,22842,21711,21698,21820,21807,21698
1993,50404,42286,42300,42286,42289,42297,42300,42289,42155,42159,42289
1994,31105,22514,22515,22333,21977,22432,22514,22331,20370,22213,22331
1995,32294,24714,24638,24805,26085,25526,24711,24703,22120,21166,24703
1996,62939,53507,53558,53724,53839,53930,53482,53507,50339,48709,53507
1997,39950,30158,31735,30846,31615,31640,30171,30157,29306,28320,30157
1998,26152,20676,20450,21414,20803,24135,20698,20664,17544,17893,20664
1999,20900,19974,19974,19874,19874,19874,19974,19962,19994,18960,19962
2000,29520,23606,24886,25626,25521,26234,23618,23000,21426,21004,23000
2001,18917,8954,9641,8953,8484,9324,8989,8933,7444,9302,8933
2002,57940,45745,47176,46144,47587,47800,45732,45555,40114,39636,45555
2003,41021,30896,30761,32126,31780,33140,30905,30913,28508,28727,30913
2004,16969,10965,11144,10926,10827,13066,10964,10908,8388,9940,10908
2005,26800,16930,16894,16918,16917,18679,16930,16927,15473,15254,16927
2006,26465,16340,15895,16567,16605,16394,16262,16460,14596,14498,16460
2007,19697,10111,10609,10359,11382,12943,10114,10109,10341,12841,10109
