"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
2001,11277,12170,12183,12386,12386,12386,12189,12165,11996,11970,12165
2002,37001,34727,34716,34716,34727,35367,34727,34748,35244,35244,34748
2003,31291,28051,28044,28051,28051,28044,28044,28051,28607,28607,28051
2004,32429,31816,31822,31928,31838,32081,32081,31822,30525,30510,31822
2005,11418,13493,13493,13493,13493,13493,13493,13493,13499,13499,13493
