"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,51117,39796,39796,39796,39796,39796,39796,39796,40507,40507,39796
1930,69228,56774,56748,56774,56774,56748,56748,56774,56774,56774,56774
1931,126144,88823,88664,88823,88823,88664,88664,88823,90068,90068,88823
1932,124156,99296,99159,99296,99296,99159,99159,99296,95659,95659,99296
1933,49219,40817,40817,40817,40817,40817,40817,40817,41330,41330,40817
1934,45767,30332,30332,30332,30332,30332,30332,30332,29494,29494,30332
1935,45608,39447,39441,39447,39447,39441,39441,39447,38940,38940,39447
1936,64489,48845,48767,48845,48845,48767,48767,48845,49330,49330,48845
1937,136578,116893,116904,116893,116893,116904,116904,116893,112289,112289,116893
1938,114964,106769,106728,106769,106767,106730,106727,106766,102035,102035,106766
1939,73122,57650,57598,57650,57650,57598,57598,57650,57362,57362,57650
1940,88221,76028,75936,76028,76028,75936,75936,76028,75791,75791,76028
1941,22091,18352,18352,18352,18352,18352,18352,18352,18044,18044,18352
1942,61975,49839,49792,49839,49839,49792,49792,49839,49839,49839,49839
1943,88332,83352,83328,83352,83351,83329,83328,83350,83315,83313,83350
1944,44919,33393,33356,33393,33393,33356,33356,33393,33014,33014,33393
1945,94038,78538,78518,78538,78538,78518,78517,78538,77819,77818,78538
1946,72110,61247,61401,61247,61247,61401,61401,61247,61311,61311,61247
1947,68173,63889,63846,63889,63889,63846,63846,63889,63829,63829,63889
1948,106366,73113,72596,73113,73113,72596,72596,73113,72907,72906,73113
1949,139393,111368,111271,111368,111368,111271,111271,111368,112276,112276,111368
1950,91876,76680,76607,76680,76680,76607,76607,76680,75550,75549,76680
1951,98830,86569,86459,86569,86568,86460,86459,86568,86571,86570,86568
1952,116789,96073,96018,96073,96073,96018,96018,96073,96044,96044,96073
1953,128869,113971,114253,113971,114225,114039,112582,113373,113971,113401,113373
1954,72093,72877,72826,72877,72877,72826,72826,72877,72877,72877,72877
1955,57779,47983,47985,47983,47983,47985,47985,47983,48186,48186,47983
1956,66279,57061,57049,57061,57061,57049,57049,57061,58120,58120,57061
1957,120582,108056,108036,108056,108053,108039,108036,108053,108101,108098,108053
1958,120758,97409,97350,97409,97409,97350,97350,97409,96865,96865,97409
1959,70057,58492,58416,58492,58492,58416,58416,58492,58978,58978,58492
1960,94340,78059,77977,78059,78059,77977,77977,78059,79798,79798,78059
1961,192007,161042,160936,161042,161041,160936,160525,160674,160715,160338,160674
1962,99715,80157,80050,80157,80157,80050,80050,80157,77045,77045,80157
1963,102563,83738,83701,83738,83737,83701,83700,83737,83806,83805,83737
1964,52626,53146,53112,53146,53146,53112,53112,53146,53155,53155,53146
1965,82788,92901,92962,92917,93179,93915,92750,94098,93703,93415,94098
1966,79017,60361,60256,60361,60361,60256,60256,60361,59102,59102,60361
1967,51215,58063,58061,58063,58064,58060,58061,58064,58061,58062,58064
1968,118220,92252,91975,92252,92064,92136,91995,92208,92158,91789,92208
1969,64511,56500,56482,56500,56500,56482,56482,56500,56979,56979,56500
1970,57336,73313,73544,73313,73747,73585,73516,73041,73313,73616,73041
1971,71828,61404,61399,61404,61404,61399,61399,61404,61905,61905,61404
1972,157630,134234,134296,134234,134222,134188,134232,134291,134038,134111,134291
1973,25616,20589,20589,20589,20589,20589,20589,20589,19299,19299,20589
1974,84560,76544,76569,76545,76536,76529,76570,76537,77164,77169,76537
1975,68290,61589,61606,61589,61589,61606,61606,61589,60940,60940,61589
1976,64435,52091,52091,52091,52091,52091,52091,52091,52543,52543,52091
1977,37825,27917,27917,27917,27917,27917,27917,27917,27628,27628,27917
1978,55686,47252,47042,47278,47100,47046,47029,47106,47222,46621,47106
1979,98254,78324,78101,78324,78324,78102,78101,78324,78801,78801,78324
1980,47284,38501,38498,38501,38501,38498,38498,38501,38256,38256,38501
1981,84205,57951,57887,57951,57951,57887,57887,57951,58420,58420,57951
1982,157458,126041,124961,126041,125724,124976,124859,125021,125405,124776,125021
1983,120808,103867,103831,103867,103866,103831,103831,103866,101218,101221,103866
1984,113247,84656,84584,84656,84656,84584,84584,84656,82475,82474,84656
1985,43363,34487,34487,34487,34487,34487,34487,34487,34941,34941,34487
1986,171130,138966,138884,138966,138938,138884,138884,138966,139188,139190,138966
1987,82446,74627,74592,74627,74627,74592,74592,74627,74564,74564,74627
1988,44166,34673,34587,34673,34673,34587,34587,34673,35736,35736,34673
1989,66756,54708,54678,54708,54708,54678,54678,54708,54082,54082,54708
1990,58738,49085,49058,49085,49085,49058,49058,49085,49508,49508,49085
1991,61923,48466,48374,48466,48466,48374,48374,48466,48454,48455,48466
1992,66112,46869,46869,46869,46869,46869,46869,46869,46461,46461,46869
1993,103943,84351,84225,84351,84345,84216,84225,84325,81495,81261,84325
1994,61543,43429,43429,43429,43429,43429,43429,43429,43037,43037,43429
1995,96741,79691,79935,79691,79958,79668,79808,79958,79779,80046,79958
1996,240058,196582,196550,196604,196610,196498,196617,196477,196735,196266,196477
1997,99271,85066,84677,85066,84021,84033,84149,85285,85066,85269,85285
1998,53887,42281,42281,42281,42281,42281,42281,42281,42824,42824,42281
1999,103661,89907,89813,89906,89860,89708,89812,89859,88867,88852,89859
2000,55414,41988,41963,41988,41988,41963,41963,41988,42602,42602,41988
2001,30302,18384,18387,18384,18387,18384,18384,18384,17519,17518,18384
2002,66020,54629,56299,54633,56392,56300,54639,54501,50589,50286,54501
2003,83644,76708,76658,76708,76709,76656,76658,76709,76802,76803,76709
2004,63232,65409,65364,65416,65412,65354,65355,65410,65397,65397,65410
2005,58034,35608,35608,35608,35608,35608,35608,35608,35624,35652,35608
2006,93131,89950,90695,89950,90775,89803,90540,90731,89947,90729,90731
2007,68728,45960,45894,45960,45960,45894,45894,45960,46648,46648,45960
