"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,12211,11478,11478,11478,11478,11478,11478,11478,11815,11815,11478
1930,12500,11806,11806,11806,11806,11459,11806,11806,10813,10813,11806
1931,9291,9495,9495,9495,9495,9495,9495,9495,9094,9094,9495
1932,16731,14185,14185,14185,14185,14185,14185,14185,14972,14972,14185
1933,23258,18129,16628,16925,16631,16595,18130,18129,18336,18998,18129
1934,11030,10043,10043,10043,10043,10043,10043,10043,9628,9628,10043
1935,26461,19285,19271,19285,19285,19271,19271,19285,19581,19581,19285
1936,18070,14725,14723,14725,14725,14723,14723,14725,15219,15219,14725
1937,23216,18607,18601,18607,18607,18601,18601,18607,19034,19034,18607
1938,27742,20912,20911,20912,20912,20911,20911,20912,21605,21605,20912
1939,17899,16192,16527,15598,16497,12707,16200,16192,17244,16298,16192
1940,12414,14813,14816,14813,14813,11451,14816,14813,15057,15057,14813
1941,8361,9088,9055,9088,9056,8684,9090,9088,8298,8173,9088
1942,12189,12882,12742,12882,12742,10555,12882,12882,11588,11387,12882
1943,16130,11838,11838,11838,11838,11838,11838,11838,13261,13261,11838
1944,14782,12519,12519,12519,12519,12519,12519,12519,11918,11386,12519
1945,17554,14132,14132,14132,14132,14132,14132,14132,15822,15822,14132
1946,19098,18138,15802,16802,15820,15136,18140,18138,18055,18444,18138
1947,18130,13945,13945,13945,13945,13945,13945,13945,14977,14977,13945
1948,13071,11646,11714,11646,11646,11713,11714,11646,12017,12018,11646
1949,12973,12174,12174,12174,12174,12174,12174,12174,12209,12209,12174
1950,26836,21222,21166,21163,21163,21166,21224,21261,21251,21339,21261
1951,17792,18530,16662,15787,17014,13683,18530,18530,18439,19209,18530
1952,23105,19555,19541,19555,19555,19541,19541,19555,20259,20259,19555
1953,19458,15182,15182,15182,15182,15182,15182,15182,16871,16871,15182
1954,17838,14986,14986,14986,14986,14864,14986,14986,15484,15484,14986
1955,14295,11438,11438,11438,11438,11438,11438,11438,12337,12337,11438
1956,22637,23415,23408,23415,23415,23407,23408,23415,24566,24566,23415
1957,17752,16761,15732,15387,15864,14493,16761,16761,17491,17491,16761
1958,18379,15494,15494,15494,15494,14959,15494,15494,16050,16050,15494
1959,13999,14023,14023,14023,14023,11958,14023,14023,15374,15374,14023
1960,16593,13492,13492,13492,13492,13492,13492,13492,14598,14598,13492
1961,21215,18022,15795,16262,15804,15735,18000,18022,17970,18798,18022
1962,17321,12949,12949,12949,12949,12949,12949,12949,13635,13635,12949
1963,15720,12699,12700,12699,12699,12700,12700,12699,14328,14328,12699
1964,18195,13166,13166,13166,13166,13166,13166,13166,14087,14087,13166
1965,12130,11556,11556,11556,11556,11063,11556,11556,11036,11036,11556
1966,16234,14044,14044,14044,14044,11933,14044,14044,15283,15283,14044
1967,16575,14886,14886,14886,14886,13894,14886,14886,15325,14192,14886
1968,12246,14206,14208,14063,14206,11436,14208,14206,13249,11451,14206
1969,19568,15902,15896,15902,15902,15896,15896,15902,17375,17375,15902
1970,12703,13892,13332,13892,13332,11894,13901,13892,14378,13870,13892
1971,27181,21536,21537,21536,21536,21537,21537,21536,21676,21676,21536
1972,24603,23039,23093,23039,23081,23094,23093,23084,22819,22854,23084
1973,13582,11203,11203,11203,11203,11203,11203,11203,10804,10804,11203
1974,26036,20574,20209,20188,20201,20180,20578,20579,20600,21991,20579
1975,18195,17210,16228,16589,16245,14544,17215,17210,18100,18100,17210
1976,15769,12613,12611,12613,12613,12611,12611,12613,13450,13450,12613
1977,4396,4398,4398,4398,4398,4398,4398,4398,4395,4395,4398
1978,13039,11734,11597,11734,11597,11377,11734,11734,10500,10260,11734
1979,17709,13802,13801,13802,13802,13801,13801,13802,14273,14273,13802
1980,17518,13671,13672,13671,13671,13672,13672,13671,14130,14130,13671
1981,12102,11357,11357,11357,11357,11357,11357,11357,11373,11373,11357
1982,19257,15474,15475,15474,15474,15475,15475,15474,15967,15967,15474
1983,20780,18065,15934,15883,15923,15846,18065,18065,18072,18349,18065
1984,17020,12830,12830,12830,12830,12830,12830,12830,13785,13785,12830
1985,11904,10687,10687,10687,10687,10687,10687,10687,10962,10962,10687
1986,14213,15957,15193,15593,15210,12483,15996,15958,15742,15654,15958
1987,13913,13929,13635,13928,13585,11263,13451,13929,12178,10684,13929
1988,15863,11721,11721,11721,11721,11721,11721,11721,12736,12736,11721
1989,14632,11791,11791,11791,11791,11791,11791,11791,12661,12661,11791
1990,16434,14549,15290,14539,15286,11291,14549,14549,14826,14343,14549
1991,19226,14883,14883,14883,14883,14883,14883,14883,15759,15759,14883
1992,8171,10117,9963,10117,9963,9569,10117,10117,8823,8661,10117
1993,15890,11239,11239,11239,11239,11239,11239,11239,12131,12131,11239
1994,8275,8021,8022,8021,8021,8022,8022,8021,7682,7682,8021
1995,17148,14768,14768,14768,14768,13981,14768,14768,16416,16416,14768
1996,17496,14508,14501,14508,14501,14501,14508,14508,15013,14997,14508
1997,20833,18042,16572,17377,16578,16559,18043,18042,18049,18526,18042
1998,17873,18081,16199,16469,16128,13908,18111,18081,18281,18050,18081
1999,23736,18487,17757,17586,17771,17437,18493,18628,18971,19934,18628
2000,21080,17918,16666,16923,16668,15751,17916,17918,17996,18619,17918
2001,10207,9253,9253,9253,9253,9253,9253,9253,8915,8915,9253
2002,21149,15091,15091,15091,15091,15091,15091,15091,15952,15952,15091
2003,19009,14297,14297,14297,14297,14297,14297,14297,15631,15631,14297
2004,13552,12495,12495,12495,12495,10027,12495,12495,12839,12839,12495
2005,7074,7496,7496,7496,7496,7496,7496,7496,7490,7490,7496
2006,16584,14792,14288,14792,14297,14440,14275,14296,15491,15077,14296
2007,13737,11379,11379,11379,11379,11379,11379,11379,11778,11778,11379
