"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,13327,13258,13105,13240,13229,12589,13258,13254,12432,12235,13254
1930,6386,7765,7765,7778,7831,7768,7765,7784,8786,7054,7784
1931,6673,8235,8209,8302,8630,7972,8233,8818,10299,9767,8818
1932,12297,12679,12679,12679,12679,12679,12679,12679,12874,12430,12679
1933,21780,18129,16628,16925,16631,16595,18130,18129,18336,18998,18129
1934,4590,6878,7289,7544,7453,6589,6934,7544,6965,6997,7544
1935,7773,8945,9617,8812,8910,8812,8945,8935,10419,10896,8935
1936,9601,10100,10059,10100,10100,10100,10100,10100,10369,10735,10100
1937,20398,20608,20608,20608,20608,20608,20608,20608,20570,20395,20608
1938,7364,8585,9251,8288,8294,8328,8809,8819,10272,10149,8819
1939,8389,8754,9057,8035,8394,8797,8749,8803,10216,10371,8803
1940,3787,8069,8232,7808,7940,6206,8010,8146,8266,7984,8146
1941,8297,8157,8157,8179,8216,7777,8157,8234,7888,7308,8234
1942,11399,10038,10038,10066,10066,10555,10038,10066,10337,10365,10066
1943,14330,14550,14346,14325,14448,14130,14550,14393,14330,14807,14393
1944,7264,7916,7916,7916,7935,8015,7916,7916,8832,7161,7916
1945,7168,8856,9490,8313,8344,8313,8839,8856,10389,11392,8856
1946,11224,11373,11323,11446,11446,11453,11376,11272,11037,11393,11272
1947,8054,9335,9538,9284,9337,9091,9335,9335,10948,11599,9335
1948,12298,12530,12370,12537,12537,12537,12530,12530,12522,12421,12530
1949,9141,10013,9946,10021,10021,10021,10013,10013,10397,10783,10013
1950,18906,18986,18966,18963,18963,18966,18989,19040,19073,19119,19040
1951,6790,8942,8940,7974,8632,7974,8939,8711,10332,10248,8711
1952,11865,12056,11819,12168,12168,12168,12056,12056,12035,11952,12056
1953,14097,14192,14192,14192,14192,14192,14192,14192,14276,14276,14192
1954,12660,11581,11581,12598,11829,12002,11581,11581,11769,11808,11581
1955,15115,15268,15268,15268,15268,15268,15268,15268,15268,15268,15268
1956,15261,15384,15384,15384,15384,15384,15384,15384,15399,15399,15384
1957,7872,8834,9345,8721,8475,8721,8833,8834,10473,10626,8834
1958,10463,10563,10546,10771,10722,10872,10562,10606,10995,11553,10606
1959,7522,8792,9153,8095,8189,8263,8799,8794,10323,10525,8794
1960,8999,9663,9736,9639,9639,9639,9663,9663,10327,11599,9663
1961,6871,8756,9574,8087,8264,8076,8756,8629,10467,10304,8629
1962,9810,10472,10446,10472,10472,10472,10472,10472,10482,10976,10472
1963,7849,9083,9443,9111,9257,8678,9083,9084,10509,10834,9084
1964,14350,14178,14186,14419,14178,12348,14178,14178,14188,13617,14178
1965,6435,7298,7466,7401,7586,7522,7297,7782,9176,8702,7782
1966,5060,8631,8824,7917,8272,6370,8631,8642,8980,8569,8642
1967,8541,8396,8405,8433,8438,8389,8396,8350,9389,8755,8350
1968,6450,7510,7749,7566,7718,7558,7510,7565,8506,7176,7565
1969,10158,10414,10361,10426,10456,10423,10414,10409,12337,12550,10409
1970,6115,9059,9080,7813,8239,7047,9059,9053,9870,9483,9053
1971,17365,17333,17333,17333,17333,17333,17333,17333,17333,17193,17333
1972,10429,10913,10915,10943,10943,10943,10913,10913,10975,11423,10913
1973,5615,7856,7857,8035,8230,7034,7856,8035,7916,7397,8035
1974,14519,14561,14561,14561,14561,14561,14561,14561,14616,14547,14561
1975,10640,10850,10817,10981,10995,11025,10872,10851,11346,11631,10851
1976,9301,9862,9700,9773,9814,9789,9862,9862,10416,10787,9862
1977,5686,6839,6848,6998,7291,6844,6839,7034,8859,6792,7034
1978,7149,7705,7705,7717,7742,7764,7705,7717,8760,7111,7717
1979,5424,8915,9018,7764,8098,6787,8915,8915,9303,9044,8915
1980,9088,8413,8457,8533,8662,8669,8419,8592,9885,9787,8592
1981,11933,11081,11088,11354,11101,10869,11086,11088,11277,11284,11088
1982,9858,10273,10093,10343,10276,10362,10273,10273,10598,10905,10273
1983,10891,10522,10236,10684,10526,10788,10522,10520,10637,10933,10520
1984,19192,18701,18079,17218,18074,16988,18704,18704,18607,18724,18704
1985,8399,9000,9578,9019,8968,9020,9004,9217,10271,10682,9217
1986,6086,9023,8955,7774,8166,7348,9023,8924,9688,9307,8924
1987,4469,7123,6932,7211,7408,6161,6948,7424,7050,6941,7424
1988,8675,9113,9346,9088,9084,9088,9113,9113,10381,12526,9113
1989,6707,8852,9362,7743,8322,7626,8893,8847,9877,9746,8847
1990,8673,9122,9682,8718,8799,8844,9002,8969,10397,10767,8969
1991,9222,9156,9702,9363,9004,9368,9156,9150,10426,10619,9150
1992,3252,7102,7102,7135,7054,5648,7102,7116,6129,6306,7116
1993,13132,13041,13041,13041,13041,13041,13041,13041,13118,13118,13041
1994,6327,6807,6806,6988,7345,6889,6807,6990,8622,6779,6990
1995,10022,9370,9811,9541,9073,9943,9366,9381,10361,11126,9381
1996,9066,9223,9959,9595,9693,9587,9222,9223,10706,11159,9223
1997,10167,10668,10599,10706,10706,10706,10668,10668,11111,11191,10668
1998,9539,9633,10008,9866,9964,9848,9637,9629,10826,11286,9629
1999,15206,15106,15106,15206,15206,15206,15106,15106,15079,14989,15106
2000,9490,9745,9787,9737,9737,9737,9745,9745,10364,10824,9745
2001,5999,7450,7461,7450,8034,7079,7415,7471,8123,7259,7471
2002,8080,8884,9122,8489,8805,8500,8907,8946,10475,10650,8946
2003,5248,8976,9120,7746,8091,6741,8976,8959,9349,9130,8959
2004,8621,8628,8813,8602,8707,9009,8628,8686,9985,9779,8686
2005,9575,8911,9128,9018,8923,9162,8910,8912,10065,10368,8912
2006,8855,9339,9672,9097,9067,9181,9312,9219,10339,10687,9219
2007,5261,8746,8617,7877,8085,6546,8746,8748,8491,8321,8748
