"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1997,29283,22784,25763,24175,25743,25786,22797,22783,22368,20985,22783
1998,7025,1812,4350,2967,2613,4882,1810,1812,1843,2617,1812
1999,6830,6810,7540,7710,7526,7860,6804,6669,6465,5502,6669
2000,11037,5759,8209,6837,8219,9497,5778,5759,5105,4016,5759
2001,7433,1227,1617,2685,2138,4191,1269,1227,1500,3664,1227
2002,44642,36553,40262,38766,40307,40800,36559,36408,32412,30046,36408
2003,11268,10556,10559,10556,10556,10559,10559,10556,8747,8747,10556
2004,12038,4541,4508,3696,4281,7124,4534,4541,4759,5167,4541
2005,12646,4632,5998,6765,6181,7684,4588,4628,4664,4632,4628
2006,11875,8070,9146,9394,9181,9438,7977,8047,6563,6310,8047
2007,5287,644,2318,2000,2538,5058,645,644,727,3641,644
