"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,31437,19524,21465,19612,21465,22150,19520,19524,19815,18470,19524
1930,3923,578,2668,1197,2880,2638,568,576,1232,1262,576
1931,108042,70047,71699,72286,72318,75261,69900,70047,71270,72568,70047
1932,17458,17916,17944,17916,17916,17945,17944,17916,18053,18055,17916
1933,16914,12008,13504,13212,13505,13538,12003,12008,12003,11341,12008
1934,32901,15074,15543,15464,15367,18390,15073,15075,15739,17213,15075
1935,3828,3154,3143,3154,3154,3143,3143,3154,3163,3163,3154
1936,11407,4551,4850,4858,4857,4854,4535,4551,4733,4225,4551
1937,104458,90674,90679,90674,90674,90679,90679,90674,86111,86111,90674
1938,19349,17585,17584,17585,17585,17584,17584,17585,19715,19715,17585
1939,8627,3796,3323,4379,3343,7135,3790,3796,2279,3223,3796
1940,23471,12543,13980,14281,13945,18389,12543,12486,12613,13417,12486
1941,5440,4403,4706,4403,4724,3831,4399,4403,4402,4673,4403
1942,2577,2100,3710,2089,3692,1807,2099,2100,2463,3533,2100
1943,44664,40781,41109,40781,40747,41342,41095,40758,38485,38456,40758
1944,21145,13526,11556,13554,11520,16361,13524,13526,13985,16780,13526
1945,25514,21868,22008,21868,22006,22008,21864,21868,21975,21586,21868
1946,6928,819,2281,2144,2216,3299,819,819,1074,2946,819
1947,31515,23675,25906,26460,25896,27732,23667,23619,23037,22599,23619
1948,12112,9678,9675,9678,9678,9675,9675,9678,10175,10175,9678
1949,8445,7826,8471,7919,8466,8485,7834,7826,7595,7281,7826
1950,19964,19071,19122,19131,19131,19122,19064,19033,19091,19003,19033
1951,13077,4662,6703,7441,6215,9680,4796,4657,2963,2194,4657
1952,11648,9614,9801,9795,9795,9801,9614,9614,7076,6887,9614
1953,11178,3784,5956,5241,5961,5979,3664,3784,4092,3979,3784
1954,30633,19400,21965,22039,21926,23432,19337,19303,18360,18141,19303
1955,23582,20999,21006,20999,20999,21006,21006,20999,21613,21613,20999
1956,10378,9375,9404,9375,9399,9365,9405,9400,10002,10002,9400
1957,30102,22276,24773,25113,24637,26012,22280,22275,22895,22520,22275
1958,47871,28217,32854,29034,32846,33652,28285,28217,26865,26432,28217
1959,38011,22664,24084,23519,24024,27462,22668,22661,23452,23777,22661
1960,37091,35997,35936,35997,35995,35936,35936,35994,34292,34289,35994
1961,14599,11589,13818,13345,13803,13878,11617,11589,11644,10820,11589
1962,30193,19144,20672,20804,20656,20974,19136,19144,21129,20155,19144
1963,36199,30921,30911,30921,30921,30911,30911,30921,28737,28737,30921
1964,9892,2584,4818,5361,4739,7084,2583,2571,2384,2663,2571
1965,25453,7839,8330,7730,8135,10382,7839,7839,8135,8372,7839
1966,20637,6407,8000,8866,8006,12635,6399,6407,8651,9356,6407
1967,4205,1411,2203,1623,1800,3240,1413,1419,1576,2112,1419
1968,7729,450,1449,1616,1473,4166,444,450,2255,3415,450
1969,10382,5900,6765,6551,6771,6767,5890,5900,4312,3392,5900
1970,12287,3244,3605,2892,3974,5984,3136,3244,2861,3634,3244
1971,28915,28037,28046,28037,28037,28046,28046,28037,27841,27842,28037
1972,21331,19673,19677,19673,19677,19673,19677,19677,19919,19923,19677
1973,8725,2260,1852,3223,3214,4804,2258,2260,1666,4021,2260
1974,47796,46590,46964,46976,46962,46985,46596,46583,46649,45259,46583
1975,12039,4028,5164,4747,5153,7288,4031,4038,4097,4654,4038
1976,29804,27453,27666,27674,27674,27666,27443,27453,27664,26724,27453
1977,11010,4705,6422,4925,6506,4859,4667,4705,4932,4912,4705
1978,21714,9926,10623,10128,10527,12924,9927,9925,10367,11519,9925
1979,24868,22011,22822,22011,22807,22822,22017,22011,21376,17591,22011
1980,19056,9824,11031,10850,13470,11946,9794,9750,8943,10949,9750
1981,13084,9254,9793,11419,10329,11420,9249,9249,8371,9136,9249
1982,37360,31129,31170,31146,31146,31170,31152,31111,27187,27203,31111
1983,53141,49330,51461,51512,51472,51549,49330,49330,49048,48772,49330
1984,33281,29176,29825,30522,29819,30756,29186,29175,29344,27407,29175
1985,19434,11791,13127,13290,13124,14295,11677,11791,10609,9759,11791
1986,7387,2614,3422,2863,3302,2676,2576,2614,2694,3156,2614
1987,5007,1699,4833,813,4947,3240,2073,1697,3429,2680,1697
1988,19408,16011,16786,16795,16874,16899,15924,16011,16666,15821,16011
1989,23648,21550,23012,23121,22966,23339,21553,21433,21436,20452,21433
1990,39073,25643,25104,25097,25160,34454,25663,25643,22827,23916,25643
1991,24927,16973,21196,18685,21211,19872,16979,16973,16649,18112,16973
1992,37812,15260,15992,15230,16021,18801,15265,15260,15499,16511,15260
1993,18576,16079,16088,16079,16082,16085,16088,16083,16025,16029,16083
1994,23295,14337,13965,15602,15222,17889,14330,14337,14530,18011,14337
1995,22448,10657,12838,10657,13021,15911,10660,10657,9691,8980,10657
1996,49360,44328,46692,45417,46712,46706,44308,44328,42800,39596,44328
