"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,51117,37766,37813,37774,37814,37951,37765,37766,37916,37969,37766
1930,16423,15728,17390,15398,17406,14097,15719,15727,15343,13287,15727
1931,121802,87261,87114,87261,87261,87114,87114,87261,88596,88596,87261
1932,46917,41159,41196,41159,41158,41197,41196,41158,41299,41301,41158
1933,40172,30137,30132,30137,30137,30132,30132,30137,30339,30339,30137
1934,44284,29451,29451,29451,29451,29451,29451,29451,28623,28623,29451
1935,33032,25100,25091,25100,25100,25091,25091,25100,25308,25308,25100
1936,35173,24045,24047,24045,24045,24047,24047,24045,23411,23566,24045
1937,136578,116893,116904,116893,116893,116904,116904,116893,112289,112289,116893
1938,51262,43199,43209,43199,43199,43209,43209,43199,45159,45159,43199
1939,26525,19988,19850,19977,19840,19842,19989,19988,19522,19521,19988
1940,35885,29838,29840,29838,29838,29840,29840,29838,29817,29817,29838
1941,14352,13490,13815,13490,13832,12515,13490,13490,12700,12989,13490
1942,14766,15426,16629,15401,16599,12362,15426,15426,14451,14919,15426
1943,75018,65169,65504,65169,65135,65736,65489,65146,62730,62729,65146
1944,38335,28518,28622,28541,28589,29056,28515,28518,27554,28167,28518
1945,52484,43339,43403,43339,43406,43403,43334,43339,43590,43435,43339
1946,26027,18957,18083,18946,18036,18435,18958,18957,19129,21390,18957
1947,49839,42005,41997,42005,42005,41997,41997,42005,41186,41186,42005
1948,39858,31971,31977,31971,31971,31977,31977,31971,32397,32397,31971
1949,32075,26275,26284,26273,26273,26284,26286,26275,26274,26480,26275
1950,46800,40294,40288,40294,40294,40288,40288,40294,40342,40342,40294
1951,30868,23228,23365,23228,23229,23363,23366,23229,21402,21403,23229
1952,39861,31729,31739,31729,31729,31739,31739,31729,29573,29573,31729
1953,30636,21722,21717,21721,21721,21717,21723,21722,22073,22420,21722
1954,50294,37720,38239,37720,38239,38296,37662,37720,36729,37982,37720
1955,57779,47983,47985,47983,47983,47985,47985,47983,48186,48186,47983
1956,41693,34588,34620,34588,34612,34582,34622,34613,34886,34886,34613
1957,47853,40500,40505,40500,40500,40505,40505,40500,41087,41088,40500
1958,66520,46273,48486,46269,48473,48611,46335,46273,45012,44988,46273
1959,52010,39424,39419,39424,39424,39419,39419,39424,40328,40328,39424
1960,69597,62931,62869,62931,62928,62869,62869,62928,61089,61086,62928
1961,35813,29611,29613,29607,29607,29613,29617,29611,29615,29618,29611
1962,52814,37102,37094,37102,37102,37094,37094,37102,39368,39368,37102
1963,65474,54774,54760,54774,54774,54760,54760,54774,52800,52800,54774
1964,28690,20845,20679,20836,20678,20678,20844,20845,20685,20875,20845
1965,37583,21714,22016,21588,21820,21445,21714,21714,21533,21492,21714
1966,36871,24574,24567,24574,24574,24567,24567,24574,26789,26789,24574
1967,20779,17300,17778,17114,17124,17134,17304,17309,17025,16304,17309
1968,19975,15681,16389,15679,15939,15602,15680,15681,15503,14865,15681
1969,35160,24237,24231,24235,24235,24231,24233,24237,22379,22386,24237
1970,24990,18977,18818,18525,19242,17878,18849,18977,18862,19492,18977
1971,56097,49573,49583,49573,49573,49583,49583,49573,49517,49518,49573
1972,51930,44874,44885,44874,44878,44880,44885,44878,45063,45067,44878
1973,24777,17562,17604,17557,17620,17504,17562,17562,16503,16145,17562
1974,73832,67164,67173,67164,67163,67165,67174,67163,67249,67250,67163
1975,30234,22199,21392,21337,21398,21832,22202,22208,22319,23118,22208
1976,54971,46083,46161,46167,46167,46161,46077,46083,46469,46066,46083
1977,24875,18128,19645,18116,19653,15813,18120,18128,17112,16616,18128
1978,34894,24781,24872,24764,24783,24787,24781,24781,23816,23706,24781
1979,48355,40445,40563,40445,40554,40563,40453,40445,40104,38396,40445
1980,38170,27636,27826,27636,30512,28099,27575,27636,26950,28287,27636
1981,33787,26223,26224,26223,26222,26224,26224,26223,25804,25808,26223
1982,63914,53211,53250,53224,53224,53250,53237,53211,49483,49464,53211
1983,73921,67395,67395,67395,67395,67395,67395,67395,67121,67121,67395
1984,55140,47877,47904,47877,47893,47902,47890,47879,47951,47877,47879
1985,42844,29717,29603,29717,29717,29603,29603,29717,28815,28815,29717
1986,21600,18571,18615,18456,18512,15159,18572,18571,18436,18810,18571
1987,18920,15629,18469,14740,18533,14503,15524,15626,15607,13365,15626
1988,44166,34673,34587,34673,34673,34587,34587,34673,35736,35736,34673
1989,46075,39815,39821,39815,39815,39821,39821,39815,39816,39816,39815
1990,55507,40192,40574,39636,40652,45745,40212,40192,37652,38259,40192
1991,46392,35014,37453,35014,37448,35819,35020,35014,34827,36959,35014
1992,46198,28814,29209,28782,29226,28490,28814,28814,27949,28113,28814
1993,63536,55327,55341,55327,55330,55338,55341,55331,55272,55276,55331
1994,37432,29321,29321,29321,29321,29321,29321,29321,28992,28992,29321
1995,39596,28391,28803,28391,28823,29892,28393,28391,27540,27902,28391
1996,72005,62730,63517,63319,63532,63516,62704,62730,61045,59867,62730
1997,50117,40826,42334,41552,42321,42346,40839,40826,40417,39511,40826
1998,24898,19893,20550,19436,18742,18791,19921,19893,20124,20667,19893
1999,30567,25297,25297,25297,25297,25297,25297,25297,25437,25437,25297
2000,32117,23851,25036,23759,25005,25248,23874,23851,23167,23654,23851
2001,24876,16404,17103,16403,16518,16403,16404,16404,15567,15390,16404
2002,66020,54629,56299,54633,56392,56300,54639,54501,50589,50286,54501
