"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,19680,18242,16348,18162,16349,15800,18245,18242,18102,19498,18242
1930,12500,15151,14722,14202,14526,11459,15151,15151,14111,12025,15151
1931,13760,17214,15415,14976,14944,11853,17214,17214,17326,16028,17214
1932,29459,23242,23252,23242,23242,23252,23252,23242,23246,23246,23242
1933,23258,18129,16628,16925,16631,16595,18130,18129,18336,18998,18129
1934,11383,14378,13908,13987,14084,11061,14378,14376,12884,11410,14376
1935,29204,21946,21948,21946,21946,21948,21948,21946,22144,22144,21946
1936,23766,19494,19197,19187,19188,19193,19512,19494,18679,19341,19494
1937,32120,26219,26224,26219,26219,26224,26224,26219,26178,26178,26219
1938,31913,25614,25625,25614,25614,25625,25625,25614,25444,25444,25614
1939,17899,16192,16527,15598,16497,12707,16200,16192,17244,16298,16192
1940,12414,17295,15859,15557,15893,11451,17297,17352,17204,16400,17352
1941,8912,9088,9109,9088,9107,8684,9091,9088,8298,8316,9088
1942,12189,13326,12919,13312,12907,10555,13326,13326,11988,11387,13326
1943,30354,24388,24395,24388,24388,24395,24395,24388,24246,24273,24388
1944,17190,14992,17065,14986,17070,12694,14991,14992,13569,11386,14992
1945,26971,21471,21396,21471,21400,21396,21470,21471,21614,21849,21471
1946,19098,18138,15802,16802,15820,15136,18140,18138,18055,18444,18138
1947,18323,18330,16092,15545,16109,14265,18331,18386,18149,18587,18386
1948,27746,22294,22302,22294,22294,22302,22302,22294,22222,22222,22294
1949,23631,18450,17813,18354,17808,17799,18452,18450,18679,19199,18450
1950,26836,21222,21166,21163,21163,21166,21224,21261,21251,21339,21261
1951,17792,18566,16662,15787,17014,13683,18570,18572,18439,19209,18572
1952,28213,22115,21938,21934,21934,21938,22125,22115,22497,22686,22115
1953,19458,17938,15761,16480,15760,15738,18059,17938,17981,18441,17938
1954,19661,18320,16274,15681,16313,14864,18325,18417,18369,19841,18417
1955,34197,26985,26979,26985,26985,26979,26979,26985,26573,26573,26985
1956,31314,25213,25217,25213,25213,25217,25217,25213,24884,24884,25213
1957,17752,18225,15732,15387,15864,14493,18225,18225,18192,18568,18225
1958,18649,18056,15632,17234,15627,14959,18050,18056,18147,18556,18056
1959,13999,16760,15336,15905,15400,11958,16752,16763,16876,16551,16763
1960,32506,26934,26933,26934,26934,26933,26933,26934,26797,26797,26934
1961,21215,18022,15795,16262,15804,15735,18000,18022,17970,18798,18022
1962,22621,17958,16422,16299,16447,16120,17958,17958,18239,19213,17958
1963,29274,23853,23848,23853,23853,23848,23848,23853,24063,24063,23853
1964,18799,18261,15861,15475,15938,13594,18260,18274,18301,18212,18274
1965,12130,13875,13686,13858,13685,11063,13875,13875,13398,13120,13875
1966,16234,18167,16568,15709,16568,11933,18168,18167,18139,17434,18167
1967,16575,15889,15575,15491,15324,13894,15891,15889,15449,14192,15889
1968,12246,15231,14940,14063,14466,11436,15236,15231,13249,11451,15231
1969,24778,18337,17466,17685,17464,17464,18343,18337,18067,18994,18337
1970,12703,15733,15213,15633,15269,11894,15712,15733,16001,15859,15733
1971,27181,21536,21537,21536,21536,21537,21537,21536,21676,21676,21536
1972,30599,25201,25208,25201,25201,25208,25208,25201,25144,25144,25201
1973,16052,15302,15752,14334,14406,12700,15304,15302,14838,12124,15302
1974,26036,20574,20209,20188,20201,20180,20578,20579,20600,21991,20579
1975,18195,18170,16228,16589,16245,14544,18171,18170,18222,18463,18170
1976,25167,18631,18495,18493,18493,18495,18634,18631,18805,19342,18631
1977,13865,13422,13223,13191,13147,10953,13453,13422,12180,11704,13422
1978,13180,14855,14249,14637,14256,11863,14854,14856,13448,12187,14856
1979,23487,18434,17741,18433,17747,17741,18436,18434,18728,20805,18434
1980,19114,17812,16794,16786,17042,16154,17780,17886,18007,17337,17886
1981,20703,16969,16431,14804,15893,14804,16975,16974,17433,16672,16974
1982,26554,22082,22080,22078,22078,22080,22085,22100,22296,22262,22100
1983,20780,18065,15934,15883,15923,15846,18065,18065,18072,18349,18065
1984,21859,18701,18079,17354,18074,17146,18704,18704,18607,20470,18704
1985,23410,17926,16476,16427,16593,15308,17926,17926,18206,19055,17926
1986,14213,15957,15193,15593,15210,12483,15996,15958,15742,15654,15958
1987,13913,13929,13635,13928,13585,11263,13451,13929,12178,10684,13929
1988,24757,18662,17801,17879,17799,17689,18663,18662,19070,19915,18662
1989,22427,18265,16808,16694,16849,16481,18267,18383,18380,19364,18383
1990,16434,14549,15469,14539,15492,11291,14549,14549,14826,14343,14549
1991,21465,18041,16257,16328,16237,15947,18041,18041,18179,18847,18041
1992,8386,13553,13216,13552,13205,9689,13549,13553,12450,11602,13553
1993,44960,39248,39253,39248,39248,39253,39253,39248,39248,39248,39248
1994,14137,14984,15356,13719,14099,11433,14991,14984,14463,10981,14984
1995,17148,17734,15964,17734,15802,13981,17733,17734,17849,18922,17734
1996,22646,18402,16825,17902,16819,16811,18397,18402,18245,20272,18402
1997,20833,18042,16572,17377,16578,16559,18043,18042,18049,18526,18042
1998,17873,18081,16199,16469,16128,13908,18111,18081,18281,18050,18081
1999,23736,18487,17757,17586,17771,17437,18493,18628,18971,19934,18628
2000,21080,18092,16826,16923,16785,15751,18096,18092,18062,19637,18092
2001,17443,15177,15486,13718,14380,12212,15135,15177,14067,11725,15177
2002,21378,18076,16036,15867,16085,15500,18079,18093,18177,20240,18093
2003,35000,29316,29323,29316,29316,29323,29323,29316,29110,29110,29316
2004,13552,13737,13639,13733,13619,10027,13751,13737,13615,13241,13737
2005,21746,17711,16329,15578,16146,14643,17756,17716,17722,17765,17716
2006,23445,17608,16421,16269,16492,16136,17597,17632,18371,18874,17632
2007,19671,18212,16908,16237,16928,14431,18214,18212,18105,17522,18212
