"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,69132,68290,68290,68290,68290,68290,68290,68290,68279,68279,68290
1930,80078,71061,71060,71061,71061,71060,71060,71061,71060,71060,71061
1931,51603,34699,34699,34699,34699,34699,34699,34699,34586,34586,34699
1932,124156,99296,99159,99296,99296,99159,99159,99296,95659,95659,99296
1933,90737,86367,86368,86367,86367,86368,86368,86367,86367,86367,86367
1934,124803,106156,106162,106156,106156,106162,106295,106290,106156,106290,106290
1935,99918,89405,89404,89405,89405,89404,89404,89405,89405,89405,89405
1936,154039,139924,139921,139924,139924,139922,139921,139924,139924,139924,139924
1937,57688,48586,48586,48586,48586,48586,48586,48586,48984,48984,48586
1938,120620,110799,110798,110799,110799,110798,110798,110799,110742,110742,110799
1939,73122,57650,57598,57650,57650,57598,57598,57650,57362,57362,57650
1940,88221,76028,75936,76028,76028,75936,75936,76028,75791,75791,76028
1941,55155,54224,54224,54224,54224,54224,54224,54224,54224,54224,54224
1942,105712,93860,93857,93862,93860,93880,93857,93861,93272,93846,93861
1943,194353,162837,163244,162837,163229,162890,163249,163277,162578,163565,163277
1944,44919,48358,48067,48358,48197,48786,48059,48362,47502,47501,48362
1945,94038,78538,78518,78538,78538,78518,78517,78538,77819,77818,78538
1946,149302,116872,116876,116872,116872,116897,116874,116872,116873,116872,116872
1947,154779,124875,124813,124578,124593,124566,124541,124619,124578,124624,124619
1948,156328,129099,129105,129099,129099,129106,129105,129099,129099,129099,129099
1949,139393,111368,111271,111368,111368,111271,111271,111368,112276,112276,111368
1950,119863,104074,104069,104074,104074,104069,104069,104074,104041,104041,104074
1951,108941,105544,105552,105544,105549,105555,105539,105544,106284,106223,105544
1952,116789,101860,101836,101891,101891,101890,101890,101861,101891,101821,101861
1953,194270,158689,158618,158689,158558,158716,158633,158572,158689,158572,158572
1954,127085,113811,113805,113811,113811,113805,113805,113811,113811,113811,113811
1955,78429,72076,72076,72076,72076,72076,72076,72076,71935,71935,72076
1956,214934,181432,181396,181432,181437,181396,181397,181443,181432,181443,181443
1957,120582,108056,108036,108056,108053,108039,108036,108053,108101,108098,108053
1958,140090,117555,117549,117555,117554,117550,117548,117553,117549,117547,117553
1959,112968,98640,98640,98640,98640,98640,98640,98640,98640,98640,98640
1960,94340,78059,77977,78059,78059,77977,77977,78059,79798,79798,78059
1961,192007,161042,160936,161042,161041,160936,160525,160674,160715,160338,160674
1962,116036,97940,97937,97940,97940,97937,97937,97940,97883,97874,97940
1963,102563,83738,83701,83738,83737,83701,83700,83737,83806,83805,83737
1964,119800,111015,111017,111015,111015,111017,111017,111015,111018,111018,111015
1965,327003,257426,256717,256855,256821,256753,256723,256923,256421,256341,256923
1966,159462,137046,137040,137046,137046,137040,137040,137046,137444,137444,137046
1967,115275,97033,97029,97033,97033,97028,97029,97033,96985,96986,97033
1968,118220,92252,91975,92252,92064,92136,91995,92208,92158,91789,92208
1969,97435,92149,92151,92975,92149,93265,92151,92149,92149,92149,92149
1970,181413,159533,159384,159533,159657,159504,159479,160305,159533,159683,160305
1971,197445,141758,141728,141758,141768,141718,141729,141769,141751,141761,141769
1972,197849,151524,151519,151524,151524,151519,151519,151524,151523,151523,151524
1973,94646,85085,85080,85085,85085,85080,85080,85085,85085,85085,85085
1974,199621,162507,162496,162507,162603,162318,161969,161896,161769,162370,161896
1975,80977,76803,76800,76803,76803,76800,76800,76803,76803,76803,76803
1976,139594,116741,116735,116741,116741,116735,116735,116741,116741,116741,116741
1977,37825,27917,27917,27917,27917,27917,27917,27917,27628,27628,27917
1978,179104,150099,150090,150104,150252,149987,148613,150197,150099,150067,150197
1979,98254,78324,78101,78324,78324,78102,78101,78324,78801,78801,78324
1980,143903,112024,112025,112024,112024,112026,112025,112024,112024,112024,112024
1981,124767,101767,101762,101767,101767,101763,101762,101766,101763,101762,101766
1982,157458,126041,124961,126041,125724,124976,124859,125021,125405,124776,125021
1983,120808,103867,103831,103867,103866,103831,103831,103866,101218,101221,103866
1984,113247,84656,84584,84656,84656,84584,84584,84656,82475,82474,84656
1985,85852,90313,90335,90311,90292,90430,90361,90372,89757,89753,90372
1986,171130,138966,138884,138966,138938,138884,138884,138966,139188,139190,138966
1987,93160,85326,85338,85432,85351,85511,85462,85321,84874,84888,85321
1988,109420,94294,94293,94294,94294,94293,94293,94294,94715,94715,94294
1989,85194,78662,78662,78662,78662,78662,78658,78662,77992,77878,78662
1990,92902,78576,78574,78576,78576,78574,78574,78576,78590,78590,78576
1991,74693,65442,65438,65442,65442,65438,65438,65442,65348,65348,65442
1992,66112,63191,63127,63191,63191,63190,63185,63191,63191,63156,63191
1993,103943,84351,84225,84351,84345,84216,84225,84325,81495,81261,84325
1994,61543,52787,52787,52787,52787,52787,52787,52787,52788,52788,52787
1995,128395,106149,106144,106149,106149,106145,106144,106148,105795,105794,106148
1996,240058,196582,196550,196604,196610,196498,196617,196477,196735,196266,196477
1997,201463,183543,184175,183543,185002,183397,185097,184065,183543,184065,184065
1998,97896,84487,84483,84487,84487,84483,84483,84487,84487,84487,84487
1999,150984,119545,119350,119545,119348,119572,119539,119594,119550,119565,119594
2000,99042,89672,89670,89672,89672,89670,89670,89672,89609,89609,89672
2001,27428,28289,28289,28289,28289,28289,28289,28289,28289,28289,28289
2002,96717,86860,86856,86918,86860,86965,86855,86914,86942,86942,86914
2003,99104,84174,84154,84174,84175,84154,84155,84175,84187,84187,84175
2004,94209,84167,84166,84167,84167,84166,84166,84167,84167,84167,84167
2005,68064,59728,59723,59728,59728,59723,59723,59728,59638,59638,59728
2006,168006,133029,132548,133029,132573,133184,132544,132572,133030,132573,132572
2007,101422,86639,86643,86639,86639,86643,86642,86639,86639,86638,86639
