"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,4952,2996,3603,3145,3080,5924,6822,3009,3951,3656,3009
1930,2729,1036,1268,2223,1448,2592,1166,1641,2668,1987,1641
1931,3592,1236,1607,1013,1179,2108,1168,1911,4719,3525,1911
1932,6406,3542,3540,3542,3540,5573,5351,4028,3786,3387,4028
1933,12577,9816,10041,9815,9696,10896,11090,9814,9181,9176,9814
1934,1368,2190,2154,2150,2236,993,2080,1896,1541,1631,1896
1935,5442,2639,2091,2688,2741,5941,5777,2640,2661,2811,2640
1936,4120,3407,3479,3411,3468,6101,6522,3945,4115,4096,3945
1937,12050,9010,9010,9010,9010,10113,10113,9010,8439,8437,9010
1938,3020,3106,2997,2823,2873,6099,6845,3279,2938,2928,3279
1939,3798,2085,2227,2051,1795,5135,2584,2290,2030,2027,2290
1940,1703,2292,1294,1323,1259,3784,2292,2301,4206,3187,2301
1941,4312,2986,2928,2965,2919,3634,2964,2972,2883,2127,2972
1942,7380,3077,3037,3077,3050,4480,3587,3088,3973,3836,3088
1943,8776,6556,7582,6557,6422,6908,9281,6547,5206,5168,6547
1944,3051,1203,1197,1179,1295,3624,1626,1151,2336,2186,1151
1945,2926,3246,3244,3300,3272,6969,6659,3198,4052,3974,3198
1946,5897,3445,3713,4194,5933,6255,6427,4388,3125,3123,4388
1947,5996,2107,2082,4932,2416,6685,5853,1976,3341,3324,1976
1948,5741,8519,9717,8519,9684,9502,8979,8948,6960,6445,8948
1949,4284,4265,4901,4198,6737,7414,9135,4226,4397,3971,4226
1950,11816,8848,8787,8841,8789,9975,9975,8841,8223,8223,8841
1951,2980,2883,2774,2095,2325,5409,4734,2824,2010,2441,2824
1952,17942,14218,13814,14460,14382,15509,15244,14184,12973,12473,14184
1953,7828,6505,8503,6437,7944,6625,8360,5738,4869,4865,5738
1954,6278,6462,4572,8666,4822,8873,8321,4873,4391,4403,4873
1955,10233,6705,7291,6704,7184,8353,9856,6704,6607,6607,6704
1956,7708,5646,7615,5647,7628,6662,7618,5512,4509,4507,5512
1957,3088,2612,2342,3018,2848,5577,7257,2525,1867,2056,2525
1958,5386,3384,4262,3655,3084,6462,5675,4384,3078,2976,4384
1959,8417,5643,5653,5690,5565,11982,7363,5676,7609,7201,5676
1960,3931,3178,3135,3185,3162,5864,6181,3189,4751,4502,3189
1961,3421,3283,2420,3755,3067,6510,7560,3365,3032,2964,3365
1962,4189,3821,3803,3823,3710,6594,6519,3959,5535,4802,3959
1963,5633,3791,3848,5568,7128,7994,7594,3878,4928,4655,3878
1964,6625,6807,5303,6708,4787,6926,6879,6320,4003,3996,6320
1965,2917,996,1026,916,987,4855,1275,1242,2027,1489,1242
1966,3680,3152,3745,2679,3399,5884,2264,3506,3514,2874,3506
1967,3727,2539,2943,2169,4056,6030,2237,2068,2854,1575,2068
1968,9571,4670,4702,4958,4700,7990,5168,4800,8350,6888,4800
1969,14274,10938,10774,10938,10774,12252,12233,10938,9459,9067,10938
1970,2802,2684,3170,2333,3080,6702,2440,3364,3100,2045,3364
1971,8604,8494,7572,8497,8825,8992,9774,8577,6563,6487,8577
1972,5062,8390,8005,9062,8057,9138,9678,8583,6601,6271,8583
1973,7039,4055,3991,4037,3991,5580,4050,4102,5880,5284,4102
1974,8317,5566,7159,5582,7232,6498,7787,6654,4760,4690,6654
1975,7403,4054,4961,5530,6879,6264,7362,5962,3759,3653,5962
1976,4483,5845,4552,8201,6469,6781,5918,5571,4224,3715,5571
1977,6804,4172,4134,4014,4201,7140,4661,4077,6383,4517,4077
1978,9434,5276,4978,5513,5413,8750,5926,5435,6992,6479,5435
1979,2760,2673,2469,2634,2473,4879,2625,2688,2224,2416,2688
1980,4899,2191,1540,2315,1654,5503,2388,2478,3558,2879,2478
1981,6081,2941,2874,3357,3159,7529,4859,2909,4548,4512,2909
1982,6392,4256,5115,4771,4006,7806,7924,4510,4076,3856,4510
1983,13392,9766,9625,10172,9903,11320,10596,9754,7203,7148,9754
1984,9715,7565,6894,8608,6826,7389,7388,6959,5766,5614,6959
1985,3287,3352,3429,3244,3554,7196,6239,3351,4144,4095,3351
1986,11642,5471,5796,5604,6187,13092,6469,5565,7468,7380,5565
1987,5785,2988,2530,2900,2721,2320,2339,3171,1763,2065,3171
1988,5379,2394,2677,2409,2555,6192,5574,2662,4577,3510,2662
1989,3702,1652,1855,2199,1564,5145,4220,2514,2082,2409,2514
1990,5148,2409,2435,2167,2467,5741,4964,1719,2705,2832,1719
1991,5866,2392,2664,2127,2259,5052,6271,3414,2450,2566,3414
1992,2554,3008,2975,2962,2974,1923,3011,3034,2571,2538,3034
1993,6789,2967,3797,2967,2974,5732,7035,3093,3466,3197,3093
1994,3391,2039,2363,2029,2529,2366,2039,2036,3319,2385,2036
1995,5366,3690,2735,3078,3767,6216,5131,3852,3890,3645,3852
1996,4459,3978,3564,3467,4041,7533,7614,3882,4596,4478,3882
1997,6194,8218,8627,8239,8240,10847,11393,8208,7183,6706,8208
1998,5919,3033,3147,2861,3835,6134,6934,2791,3265,3246,2791
1999,9207,7072,5953,7064,6326,6414,7970,7130,4969,4962,7130
2000,4590,2678,2668,2747,2743,5568,5950,3004,3434,2788,3004
2001,2626,1708,1739,1685,1635,2050,1420,1934,2496,1496,1934
2002,4639,1508,1784,2997,1689,5913,2113,1344,2238,2461,1344
2003,2142,1405,1988,1318,2417,4730,1696,1245,2199,2264,1245
2004,7065,3767,3873,3839,3890,10289,6956,3806,7096,7017,3806
2005,4825,1775,2093,1903,1766,5502,2369,1940,3482,3337,1940
2006,4532,2187,2609,1861,2716,5803,5327,2721,2227,2435,2721
2007,2325,2568,3350,870,3158,5549,1719,3710,2228,1234,3710
