"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1995,36946,34339,34339,34339,34339,35627,34339,34339,34318,34318,34339
1996,56261,57772,57777,57998,57493,57991,57443,57444,57772,57452,57444
1997,53119,58944,59521,58944,59529,59750,59710,59171,58944,58971,59171
1998,30385,28788,28748,28788,28788,28788,28748,28788,29215,29215,28788
1999,55299,53722,53722,53722,53722,53722,53722,53722,53709,53722,53722
