"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,51117,37766,37813,37774,37814,37951,37765,37766,37916,37969,37766
1930,19292,15728,17390,15398,17406,14280,15719,15727,15422,14478,15727
1931,121802,87261,87114,87261,87261,87114,87114,87261,88596,88596,87261
1932,46917,41159,41196,41159,41158,41197,41196,41158,41299,41301,41158
1933,64141,64305,64084,64305,64306,64310,64083,64305,64305,64305,64305
1934,44284,29451,29451,29451,29451,29451,29451,29451,28623,28623,29451
1935,33032,25100,25091,25100,25100,25091,25091,25100,25308,25308,25100
1936,35173,25659,25850,25850,25850,25851,25657,25495,24551,24088,25495
1937,136578,116893,116904,116893,116893,116904,116904,116893,112289,112289,116893
1938,51262,43199,43209,43199,43199,43209,43209,43199,45159,45159,43199
1939,26525,19988,19850,19977,19840,19842,19989,19988,19522,19521,19988
1940,35885,29838,29840,29838,29838,29840,29840,29838,29817,29817,29838
1941,24203,17359,17732,16756,17159,16452,17324,16858,16748,15800,16858
1942,34645,21926,22264,22311,22664,23469,21924,22143,20908,21916,22143
1943,75018,65169,65504,65169,65135,65736,65489,65146,62730,62729,65146
1944,38335,28518,28622,28541,28589,29056,28515,28518,27554,28167,28518
1945,52484,49290,49290,49290,49290,49290,49290,49290,49290,49290,49290
1946,26027,18957,18432,18946,18036,18435,18958,18957,19223,21390,18957
1947,49839,42005,41997,42005,42005,41997,41997,42005,41186,41186,42005
1948,42110,36492,36501,36492,36492,36502,36502,36474,36135,35940,36474
1949,68195,60152,60932,60646,60931,60932,60133,60152,60390,59498,60152
1950,46800,40294,40288,40294,40294,40288,40288,40294,40342,40342,40294
1951,30868,23633,23787,25173,23760,25603,23634,23283,22741,23014,23283
1952,39861,31729,31739,31729,31729,31739,31739,31729,29573,29573,31729
1953,45604,44753,44786,44786,44786,44786,44765,44753,44050,42176,44753
1954,50294,37720,38239,37720,38239,38296,37662,37720,36729,37982,37720
1955,57779,47983,47985,47983,47983,47985,47985,47983,48186,48186,47983
1956,41693,34588,34620,34588,34612,34582,34622,34613,34886,34886,34613
1957,47853,40500,40505,40500,40500,40505,40505,40500,41087,41088,40500
1958,66520,46273,48486,46269,48473,48611,46335,46273,45012,44988,46273
1959,52010,39424,39419,39424,39424,39419,39419,39424,40328,40328,39424
1960,69597,62931,62869,62931,62928,62869,62869,62928,61089,61086,62928
1961,35813,29611,29613,29607,29607,29613,29617,29611,29615,29618,29611
1962,52814,37102,37094,37102,37102,37094,37094,37102,39368,39368,37102
1963,85732,73806,73827,73806,73807,73825,73828,73808,73224,73224,73808
1964,30424,29142,28671,29567,29548,30370,29159,28321,24654,25867,28321
1965,37583,21714,22016,21588,21820,21445,21714,21714,21533,21492,21714
1966,36871,24574,24567,24574,24574,24567,24567,24574,26789,26789,24574
1967,24565,17300,17778,17114,17124,17134,17304,17309,17025,16304,17309
1968,22990,17139,17573,16032,16100,16042,17188,16167,17305,17372,16167
1969,35490,30489,30145,30889,30258,30993,30504,30176,27794,27661,30176
1970,29625,20180,20418,20129,20268,21513,20163,20391,20152,20779,20391
1971,56097,49573,49583,49573,49573,49583,49583,49573,49517,49518,49573
1972,51930,44874,44885,44874,44878,44880,44885,44878,45063,45067,44878
1973,24777,17562,17604,17557,17620,17504,17562,17562,16503,16145,17562
1974,73832,67164,67173,67164,67163,67165,67174,67163,67249,67250,67163
1975,34729,27118,29286,28550,29284,29729,27147,26829,26698,26775,26829
1976,54971,46083,46161,46167,46167,46161,46077,46083,46469,46066,46083
1977,26695,19171,19645,18792,19653,19577,19170,18792,18431,18040,18792
1978,34894,24781,24872,24764,24783,24787,24781,24781,23816,23706,24781
1979,48355,41950,41953,41950,41950,41957,41957,41925,41622,40658,41925
1980,38170,27636,27826,27636,30512,28099,27575,27636,26950,28287,27636
1981,37921,29195,30686,29284,29292,31447,29195,29194,32678,32867,29194
1982,63914,53211,53250,53224,53224,53250,53237,53211,49483,49464,53211
1983,73921,67395,67395,67395,67395,67395,67395,67395,67121,67121,67395
1984,56997,57038,57037,57038,57038,57038,57034,57032,56888,54299,57032
1985,42844,29717,29603,29717,29717,29688,29603,29717,28815,28815,29717
1986,28600,19106,19329,19189,19321,20354,19108,19178,19741,20160,19178
1987,18920,15629,18469,14740,18533,14503,15524,15626,15607,13365,15626
1988,44166,34673,34587,34673,34673,34587,34587,34673,35736,35736,34673
1989,46075,39815,39821,39815,39815,39821,39821,39815,39816,39816,39815
1990,62674,45402,45977,45274,46031,54113,45421,45412,42130,42735,45412
1991,50148,46375,44839,48421,44969,48571,46367,45226,41933,41850,45226
1992,46198,28814,29209,28782,29226,28490,28814,28814,27949,28113,28814
1993,63536,55327,55341,55327,55330,55338,55341,55331,55272,55276,55331
1994,37432,29321,29321,29321,29321,29321,29321,29321,28992,28992,29321
1995,42317,34084,34449,34346,35158,35469,34077,34084,32481,32292,34084
1996,72005,62730,63517,63319,63532,63516,62704,62730,61045,59867,62730
1997,50117,40826,42334,41552,42321,42346,40839,40826,40417,39511,40826
1998,35691,30309,30459,31280,30767,33984,30335,30293,28371,29179,30293
1999,36105,35080,35081,35080,35080,35080,35080,35068,35073,33949,35068
2000,39010,33351,34673,35362,35258,35970,33363,32745,31790,31828,32745
2001,24916,16404,17103,16403,16518,16403,16404,16404,15567,16561,16404
2002,66020,54629,56299,54633,56392,56300,54639,54501,50589,50286,54501
2003,46269,39871,39881,39871,39871,39881,39881,39871,37857,37857,39871
2004,25590,19593,19957,19527,19535,22075,19592,19594,18373,19720,19594
2005,36376,25841,26021,25936,25840,27841,25840,25839,25538,25622,25839
2006,35320,25679,25567,25664,25672,25574,25574,25679,24934,25185,25679
2007,24958,18857,19226,18237,19466,19489,18860,18857,18832,21162,18857
