"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
2001,24916,16404,17103,16403,16518,16403,16404,16404,15567,16561,16404
2002,66020,54629,56299,54633,56392,56300,54639,54501,50589,50286,54501
2003,46269,39871,39881,39871,39871,39881,39881,39871,37857,37857,39871
2004,25590,19593,19957,19527,19535,22075,19592,19594,18373,19720,19594
2005,36376,25841,26021,25936,25840,27841,25840,25839,25538,25622,25839
