"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1957,6189,9037,8805,9502,9333,11365,13070,8960,8573,8771,8960
1958,8812,9984,10975,10323,9961,11946,11221,10969,9985,9883,10969
1959,11368,12332,12382,12389,12277,17095,12541,12363,14036,13985,12363
1960,7213,9582,9564,9582,9561,11215,11601,9594,11329,11078,9594
1961,6347,9232,8685,9474,9120,11677,12727,9353,9607,9540,9353
1962,7417,10412,10421,10413,10340,12155,12080,10551,12157,11450,10551
1963,8679,9993,10112,11793,13572,13324,12915,10080,11830,11561,10080
1964,10237,13003,11549,12956,11300,12438,12391,12515,11131,11123,12515
1965,5671,7038,7144,6921,7054,10211,6648,7244,7853,7729,7244
1966,5914,9536,9532,9025,9590,10595,7611,9718,8793,8894,9718
1967,5456,8140,8397,7711,9613,10141,6924,7591,7773,7835,7591
1968,12182,10665,10835,10677,10667,12780,10630,10671,13007,13008,10671
1969,17586,17521,17520,17521,17521,17521,17521,17521,16464,16106,17521
1970,5304,8872,9360,8625,9372,11558,7445,9519,8682,8639,9519
1971,12530,15138,14199,15141,15453,14488,15270,15221,13807,13731,15221
1972,8554,14687,14750,15350,14506,14720,15260,14880,13698,13368,14880
1973,9470,8866,8863,8920,8874,10167,8853,8924,10318,11089,8924
1974,11745,12145,13736,12162,13823,11996,13285,13234,12110,12092,13234
1975,10767,10624,11637,11922,13529,11724,12821,12523,10619,10526,12523
1976,8340,12185,10904,14486,12993,12466,11789,11902,10952,10457,11902
1977,8867,9572,9699,9507,9543,11456,9513,9564,10661,10473,9564
1978,12504,11058,10838,11328,11279,13766,11171,11246,11844,12652,11246
1979,5463,8987,8788,8946,8816,9777,7940,8991,8661,8678,8991
1980,7391,8206,7643,8352,7796,10360,7479,8506,9296,8977,8506
1981,8610,9208,9250,9621,9421,12658,10078,9164,10668,10777,9164
1982,10101,10946,11895,11569,11115,13318,13451,11123,10995,10775,11123
1983,17936,16960,16824,17343,17067,17684,16960,16973,15314,15259,16973
1984,13397,13828,13700,14871,13632,13222,13222,13222,13331,13179,13222
1985,6898,10153,10248,10098,10207,12726,11869,10206,10769,10725,10206
1986,14473,12141,12425,12258,12861,18388,11851,12231,14129,14206,12231
1987,8150,7545,7660,7540,7735,6912,7528,7743,6862,7544,7743
1988,7573,8956,9364,8971,9215,11085,10878,9224,10902,9985,9224
1989,6205,7916,8194,8461,7947,10226,9300,8769,8462,8765,8769
1990,7475,8736,8855,8530,8933,10218,10124,8081,8994,8990,8081
1991,7917,8357,8867,8384,8738,9802,11127,9378,8742,8855,9378
1992,4432,7008,6954,7019,6990,6158,7008,7019,6464,6683,7019
1993,9663,10210,11021,10210,10196,11278,12667,10337,10776,10672,10337
1994,4876,6001,6325,5991,6491,6228,6001,5998,7123,7100,5998
1995,7393,9876,9144,9315,10191,10937,10160,10020,10155,9863,10020
1996,7532,10522,10125,10029,10638,12902,12987,10427,11413,11295,10427
1997,11143,16205,16533,16226,16227,17939,18485,16195,15787,15310,16195
1998,8592,9525,9686,9272,10273,11470,12415,9273,9650,9630,9273
1999,11896,13756,12813,13754,13107,11865,13424,13815,12185,12178,13815
2000,7819,9441,9453,9510,9537,10937,11320,9766,10361,9716,9766
2001,5183,7156,7156,7384,7156,6828,7312,7603,7408,7654,7603
2002,7040,8006,8281,9545,8220,10481,7410,7851,8595,8659,7851
2003,4428,8077,8667,8022,8682,9377,7471,7955,8605,8475,7955
2004,10303,10505,10541,10575,10577,15535,12698,10542,13247,13247,10542
2005,7630,8407,8688,8576,8429,10521,7994,8591,9641,9652,8591
2006,7199,8882,9303,8595,9431,10709,10586,9416,8641,8878,9416
2007,4891,8811,9282,7257,9216,9995,7132,9561,8350,8077,9561
