"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,7937,9600,10390,9609,9609,11517,12415,9605,10796,10505,9605
1930,5113,6992,7116,8137,7508,7793,6985,7520,7665,8272,7520
1931,5787,7242,7454,7190,7325,7322,7250,7487,8661,8156,7487
1932,9367,10031,10031,10031,10031,11298,11077,10517,11133,10756,10517
1933,16241,16669,16937,16669,16669,16669,16864,16669,16669,16669,16669
1934,3928,6912,7039,7011,7121,6106,6822,6559,6463,6794,6559
1935,8352,9488,9069,9509,9573,11471,11361,9520,9639,9798,9520
1936,7345,10172,10232,10176,10234,11705,12146,10710,11134,11112,10710
1937,15768,16102,16102,16102,16102,16102,16102,16102,16177,16177,16102
1938,6088,9419,9565,9396,9414,11502,12273,9575,9598,9606,9575
1939,6608,8611,8691,8551,8258,10412,8033,8816,8386,8760,8816
1940,3889,7375,7345,7287,7371,8837,7375,7371,8208,7804,7371
1941,7143,7620,7562,7621,7562,8168,7597,7621,7872,8005,7621
1942,10013,8965,8965,8967,8967,9678,8965,8967,9071,9939,8967
1943,12722,13483,14478,13484,13395,13116,15489,13474,13091,13053,13474
1944,5587,7259,7297,7120,7258,8757,6995,7097,7361,8243,7097
1945,5724,9760,9735,9809,9858,12281,12072,9711,10739,10675,9711
1946,9132,10096,10303,10813,12736,11666,11879,10720,10286,10286,10720
1947,9655,9052,9029,11888,9376,12557,11726,8922,10583,10574,8922
1948,9529,15297,16496,15297,16471,15744,15224,15726,14676,14161,15726
1949,7657,10788,11411,10719,13247,12958,14679,10749,11664,11236,10749
1950,15275,15662,15662,15662,15662,15662,15662,15662,15664,15664,15662
1951,6084,9321,9360,8594,8741,10750,10124,9364,8660,9090,9364
1952,21394,20915,20580,21160,21160,21160,20904,20882,20356,19859,20882
1953,11791,13204,15347,13136,14788,12458,14193,12437,12387,12387,12437
1954,10499,13425,11704,15693,11936,14723,14165,11891,11883,11895,11891
1955,13527,13791,14414,13791,14331,13791,15309,13791,13791,13791,13791
1956,11421,12466,14534,12466,14488,12462,13419,12337,12043,12043,12337
