"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,38243,28770,28710,28767,28714,28936,28764,28770,28896,29557,28770
1930,13523,15454,15202,14812,14697,12448,15455,15454,14670,12685,15454
1931,25643,19882,19728,19723,19708,19690,19883,19882,20085,20084,19882
1932,36207,30218,30220,30218,30218,30220,30220,30218,30218,30218,30218
1933,25900,19013,18665,18668,18667,18656,19015,19013,19224,19790,19013
1934,15370,15425,15770,14670,15606,13174,15430,15425,15059,12181,15425
1935,30751,22396,22392,22396,22396,22392,22392,22396,22596,22596,22396
1936,27459,20075,19972,19968,19969,19972,20087,20075,20476,20524,20075
1937,49518,42784,42790,42784,42784,42790,42790,42784,42809,42809,42784
1938,37087,30728,30729,30728,30728,30729,30729,30728,30314,30314,30728
1939,20459,18388,18062,16996,18038,14310,18397,18388,18330,18660,18388
1940,20159,18418,16972,17243,16678,15688,18420,18418,18353,18988,18418
1941,11310,10788,10826,10788,10787,10228,10827,10788,9995,10000,10788
1942,13128,14131,13514,13887,13541,11025,14131,14130,12880,11668,14130
1943,34260,28226,28235,28226,28226,28235,28235,28226,27926,27939,28226
1944,29073,22108,22503,22021,22470,22419,22106,22108,21451,21843,22108
1945,39797,31199,31175,31199,31197,31175,31177,31199,31337,31337,31199
1946,24270,18426,17612,17636,17602,17568,18427,18426,18542,19213,18426
1947,34652,28357,28366,28357,28357,28366,28366,28357,26954,26954,28357
1948,32521,25941,25947,25941,25941,25947,25947,25941,25364,25364,25941
1949,28674,22755,22794,22725,22787,22794,22764,22755,22196,22785,22755
1950,36636,30502,30510,30502,30502,30510,30510,30502,30502,30502,30502
1951,28969,21618,21587,21569,21569,21587,21628,21618,19137,20061,21618
1952,30778,23758,23732,23725,23725,23732,23765,23758,24260,24278,23758
1953,23095,18385,17803,17767,17814,17809,18347,18385,18188,19280,18385
1954,37402,30357,30294,30357,30291,30271,30373,30357,29709,29505,30357
1955,47508,39235,39232,39235,39235,39232,39232,39235,39434,39434,39235
1956,38469,30461,30470,30461,30464,30465,30470,30464,31186,31155,30464
1957,29036,22816,22823,22814,22814,22823,22825,22816,22895,22895,22816
1958,25944,21146,20367,20294,20297,18511,21145,21146,21131,22547,21146
1959,18331,18334,16147,16938,16241,13953,18341,18334,18338,18260,18334
1960,40840,34695,34698,34695,34695,34698,34698,34695,34693,34693,34695
1961,22256,18284,16922,17049,16919,16936,18286,18284,18323,19369,18284
1962,34051,26184,25810,25811,25811,25810,26188,26184,26529,27291,26184
1963,47813,40012,40012,40012,40012,40012,40012,40012,40471,40472,40012
1964,24949,19064,18260,18794,18268,18168,19068,19064,19197,19541,19064
1965,14654,16223,16179,16097,16075,12159,16226,16226,15701,15640,16226
1966,28887,21130,21038,21030,21042,21004,21128,21130,21782,22040,21130
1967,19038,16390,16497,16119,16091,15834,16390,16390,16025,15213,16390
1968,14363,15405,15762,14651,14905,12459,15408,15405,14695,11996,15405
1969,28426,19747,19646,19532,19649,19646,19748,19747,19902,20421,19747
1970,17787,17507,17358,17408,17346,14170,17463,17507,17916,18182,17507
1971,36929,30607,30605,30607,30607,30605,30604,30607,30453,30454,30607
1972,37878,31228,31236,31228,31231,31233,31236,31231,31090,31093,31231
1973,20310,15969,16337,15644,15906,14937,15970,15969,15485,13857,15969
1974,38336,32170,32178,32170,32170,32178,32178,32170,32170,32170,32170
1975,19820,18598,16734,17551,16734,16193,18598,18598,18622,19032,18598
1976,31796,23864,23858,23864,23864,23858,23858,23864,23946,24067,23864
1977,17814,14897,14493,14709,14387,12566,14968,14897,14273,12269,14897
1978,15305,15408,16808,15149,16733,13208,15408,15407,14448,13398,15407
1979,35733,28077,28417,28076,28403,28417,28085,28077,27580,27438,28077
1980,31191,21801,21720,21801,22062,21853,21797,21801,21482,21776,21801
1981,27683,20880,20870,20880,20881,20870,20870,20880,20548,20507,20880
1982,32823,26538,26546,26536,26536,26546,26548,26538,26067,26082,26538
1983,22644,19007,18349,18345,18344,18349,19012,19007,19166,19341,19007
1984,34736,28475,28479,28475,28475,28479,28479,28475,28387,28392,28475
1985,29107,20225,19549,19135,20615,19465,20223,20226,19953,20718,20226
1986,16627,16927,16546,16547,16513,13243,16913,16927,17292,16626,16927
1987,16869,15163,15671,14162,15524,13551,14900,15163,14400,12315,15163
1988,31395,24281,23962,23978,23963,23939,24276,24281,24698,25958,24281
1989,31770,25795,25804,25795,25795,25804,25804,25795,25795,25795,25795
1990,18718,17685,16210,17215,16202,12811,17686,17685,17871,16015,17685
1991,28652,22553,23005,22493,23005,21830,22555,22553,22885,23818,22553
1992,34637,23590,24129,23542,24066,22648,23590,23590,23167,23350,23590
1993,51175,44644,44652,44644,44644,44652,44652,44644,44645,44648,44644
1994,24524,18417,18646,18400,18456,18398,18417,18417,18044,18029,18417
1995,28185,22055,22265,22036,21870,21960,22058,22055,21693,22704,22055
1996,28633,20677,20757,20683,20754,20757,20678,20677,21070,22971,20677
1997,24172,18804,18303,18604,18301,18298,18805,18804,18934,19789,18804
1998,20985,18793,17991,17832,17404,15826,18802,18793,18785,19119,18793
1999,26817,20989,20910,20903,20903,20910,20992,20989,20639,20704,20989
2000,24326,19436,18729,18643,18699,18718,19446,19436,19227,21337,19436
2001,19340,15473,16463,15209,15989,14647,15556,15473,15283,13525,15473
2002,33510,24902,24471,24663,24474,24465,24903,24897,25460,25795,24897
2003,40935,34145,34169,34145,34145,34169,34169,34145,32998,32998,34145
2004,15620,16341,16304,15974,16310,11299,16361,16338,16195,15949,16338
2005,30512,20646,20623,20635,20623,20623,20646,20646,20725,20847,20646
2006,26618,19486,19465,19475,19465,19462,19472,19493,20069,20346,19493
2007,23816,18456,18302,17687,18381,17600,18457,18456,18467,19215,18456
