"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1975,34729,27118,29286,28550,29284,29729,27147,26829,26698,26775,26829
1976,36906,29327,29328,29327,29327,29328,29328,29327,29950,29889,29327
1977,26695,19171,19525,18792,18797,19577,19170,18792,18431,18040,18792
1978,29081,20529,20955,20293,20301,20400,20528,20305,19713,19470,20305
1979,46265,41950,41953,41950,41950,41957,41957,41925,41622,40658,41925
1980,15893,15517,17200,14342,14633,12348,15546,15709,17611,15247,15709
1981,22349,16838,17340,16094,17076,16909,16917,16704,17610,17257,16704
1982,22274,18369,19246,18071,18088,18106,18387,18326,18828,19616,18326
1983,25705,21093,21446,21011,20575,21456,21087,20851,20766,21320,20851
1984,48761,40473,41077,41767,41072,42002,40481,40469,40737,43480,40469
1985,23387,15993,17474,15687,16765,15548,15994,16755,18425,18932,16755
1986,28600,19106,19329,19189,19321,20354,19108,19178,19741,20160,19178
1987,14105,14525,13580,13574,13370,11213,14712,14066,12973,11608,14066
1988,36358,27725,28535,28586,28531,28590,27704,27725,28465,28476,27725
1989,20137,16753,17555,16405,17318,18068,16748,17345,18802,21049,17345
1990,29461,22018,22503,21968,22287,25138,22017,22454,22440,23649,22454
1991,50148,46375,44839,48421,44969,48571,46367,45226,41933,41850,45226
1992,16232,15722,15597,14106,14400,12809,15722,14351,14443,11870,14351
1993,48457,43447,43455,43447,43447,43455,43455,43447,43447,43447,43447
1994,12345,14285,13863,13492,13677,10600,14284,13616,12781,13843,13616
1995,42317,34084,34449,34346,35158,35469,34077,34084,32481,32292,34084
1996,55069,53706,51746,53886,53747,53936,53708,53264,51704,49707,53264
1997,31683,26349,26358,26349,26349,26358,26358,26349,26349,26089,26349
1998,35009,28449,28466,28861,28565,31777,28452,28446,28371,28345,28446
1999,36105,35080,35081,35080,35080,35080,35080,35068,35073,33949,35068
2000,39010,33351,34673,35362,35258,35970,33363,32745,31790,31828,32745
2001,24916,16182,16430,15131,15604,14555,16159,15323,15095,16561,15323
2002,18116,15632,17223,14981,16104,15829,15625,16789,18513,19270,16789
2003,24059,19056,19059,19056,19056,19059,19059,19056,19919,20348,19056
2004,21847,15669,17087,15578,17017,17959,15646,15618,16203,17732,15618
2005,36376,25841,26021,25936,25840,27841,25840,25839,25538,25622,25839
2006,21229,16407,16658,15464,16871,16371,16411,16587,18278,18240,16587
2007,18012,15662,18133,15184,18248,13232,15665,16921,18196,15835,16921
