"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,31701,22786,22821,22786,22911,22921,22786,22786,22982,22821,22786
1930,19292,15667,15810,14430,14805,14280,15650,14765,14997,14478,14765
1931,13524,14880,15837,14597,14885,11587,14861,15252,15119,15534,15252
1932,33212,27947,27956,27947,27947,27956,27956,27947,27947,27947,27947
1933,36689,35826,35828,35826,35827,35828,35829,35827,33798,32811,35827
1934,15000,15346,15561,14040,14462,13398,15346,14226,14831,12396,14226
1935,28460,20143,20156,20143,20143,20156,20156,20144,20428,20796,20144
1936,30126,25659,25850,25850,25850,25851,25657,25495,24551,24088,25495
1937,43338,41634,41632,41634,41634,41632,41632,41634,41634,41634,41634
1938,30890,25620,25630,25620,25620,25630,25630,25620,25620,25620,25620
1939,14895,13506,13443,14702,13423,11678,13506,13509,13940,13722,13509
1940,20662,17083,17865,16765,17556,16545,17083,17518,18534,18811,17518
1941,24203,17359,17732,16756,17159,16452,17324,16858,16748,15800,16858
1942,33509,21207,21678,21500,22061,22534,21205,21350,20174,21086,21350
1943,28145,22922,22929,22922,22922,22929,22929,22922,23037,23041,22922
1944,20585,15634,16025,14711,14777,14758,15633,14717,16479,13832,14717
1945,50555,49290,49290,49290,49290,49290,49290,49290,49290,49290,49290
1946,21775,17573,18432,17677,17890,17726,17622,17204,18350,17900,17204
1947,16108,15697,17489,14993,15729,12547,15698,16913,18477,18115,16913
1948,42110,36492,36501,36492,36492,36502,36502,36474,36135,35940,36474
1949,68195,60152,60932,60646,60931,60932,60133,60152,60390,59498,60152
1950,35373,34150,34152,34150,34150,34152,34152,34150,34052,33844,34150
1951,28224,23633,23787,25173,23760,25603,23634,23283,22741,23014,23283
1952,26420,25090,25138,25090,25090,25090,25090,25089,24943,25327,25089
1953,45604,44753,44786,44786,44786,44786,44765,44753,44050,42176,44753
1954,16242,15620,18302,15082,18167,14786,15664,16932,18491,17229,16932
1955,34367,27596,27597,27596,27597,27597,27597,27597,28462,28462,27597
1956,35750,33474,33474,33474,33474,33474,33474,33474,33474,33482,33474
1957,21876,18581,19767,19672,18953,19951,18589,18473,18859,19710,18473
1958,20887,17041,17563,16027,16156,15826,17049,17015,18160,18368,17015
1959,31227,24690,24711,24690,24696,24930,24690,24723,26542,26843,24723
1960,53406,52475,52462,52475,52476,52462,52462,52476,52475,52476,52476
1961,32877,26734,29100,27973,29072,29170,26738,26734,27424,27293,26734
1962,37317,31651,32197,32189,32188,32198,31660,31651,30208,30143,31651
1963,85732,73806,73827,73806,73807,73825,73828,73808,73224,73224,73808
1964,26694,17374,19053,17400,18082,20261,17454,17079,18962,19455,17079
1965,17950,15505,15370,13973,14489,13113,15511,15050,16252,14065,15050
1966,22594,16372,16951,16156,16722,16268,16450,16928,18176,18278,16928
1967,24565,15632,16584,14756,15050,14796,15631,14955,16930,14044,14955
1968,22990,17139,17573,16032,16100,16042,17188,16167,17305,17372,16167
1969,35490,30489,30145,30889,30258,30993,30504,30176,27794,27661,30176
1970,29583,20180,20418,20129,20268,21513,20163,20391,20152,20779,20391
1971,32538,30675,30675,30675,30675,30675,30675,30675,30692,30833,30675
1972,36455,35349,35349,35349,35349,35349,35349,35349,35349,35349,35349
1973,14043,14971,14132,13370,13398,11416,14974,13663,12751,10360,13663
1974,29029,25813,25833,25841,25834,25842,25813,25813,25813,24733,25813
