"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,22764,18694,18596,19052,18217,18704,18682,18561,18686,19545,18561
1930,13891,15167,14755,13343,13635,12391,15151,13470,14111,12171,13470
1931,10469,13093,12815,13504,13154,10422,13066,13189,13341,12982,13189
1932,26366,24337,24342,24337,24337,24342,24342,24337,24449,25019,24337
1933,31842,27189,27505,27522,27505,27522,27201,27189,26379,26341,27189
1934,9860,12612,11895,12256,12161,9967,12587,12518,10968,10074,12518
1935,19205,16722,17514,16566,16578,16566,16725,16745,17633,18343,16745
1936,24546,19824,19626,19585,19585,19601,19821,19824,19554,19941,19824
1937,32698,30614,30608,30614,30614,30608,30608,30614,30614,30614,30614
1938,24046,21541,21543,21541,21541,21543,21543,21541,21939,22468,21541
1939,12736,12964,12853,12887,12847,11073,12970,12969,13413,13498,12969
1940,11053,13263,12977,13822,13445,10520,13263,13271,13365,13093,13271
1941,11294,10950,11088,11193,10946,9861,10992,11024,10630,9418,11024
1942,15443,14731,14067,13579,13393,12469,14733,13725,13471,12176,13725
1943,23479,21220,21050,21220,21220,21227,21227,21041,20973,20936,21041
1944,14318,15341,14580,12631,12866,11562,15348,13425,14074,10758,13425
1945,32066,27002,27006,27002,27002,27006,27006,27002,27005,27005,27002
1946,18776,16467,17506,16788,16565,16257,16488,17042,17739,17570,17042
1947,15325,15518,16103,14714,15071,12547,15517,15901,16889,16358,15901
1948,28155,25181,25181,25181,25181,25181,25181,25181,25181,25201,25181
1949,24409,20685,20894,20660,20892,20892,20694,20685,20954,20977,20685
1950,28996,28108,28116,28108,28108,28116,28116,28108,28102,28048,28108
1951,19851,17729,18104,16074,17691,15808,17732,17864,18471,19234,17864
1952,23869,21678,21793,21632,21635,21627,21730,21544,21982,22891,21544
1953,28181,22471,23130,23105,23192,23130,22409,22471,23294,23218,22471
1954,16158,15598,16274,15017,16303,14688,15608,16453,17170,16329,16453
1955,32075,26521,26521,26521,26521,26521,26521,26521,25991,25991,26521
1956,30285,25257,25261,25257,25257,25261,25261,25257,25122,25124,25257
1957,19573,16357,16760,15387,16834,14921,16353,16725,18192,18880,16725
1958,18037,16658,16435,15702,15912,15221,16663,16915,17967,17544,16915
1959,17045,17328,15779,16372,15738,13725,17326,17334,17798,17753,17334
1960,34086,28717,28727,28717,28717,28727,28727,28717,28717,28717,28717
1961,21597,18236,16913,16960,16677,16621,18229,18236,18189,19096,18236
1962,23520,21267,20745,20745,20745,20745,21267,21267,20563,20353,21267
1963,28773,24863,24859,24863,24863,24859,24859,24863,25089,25091,24863
1964,22093,18406,18228,17368,17789,18516,18405,18393,18538,18504,18393
1965,14109,14121,13929,13271,13685,11292,14122,14014,14800,13473,14014
1966,13749,14191,14519,14189,14327,11878,14191,14403,14648,14368,14403
