"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1967,17700,15288,15652,13644,14015,13953,15288,14123,14926,13111,14123
1968,12303,13481,13049,13291,13181,11197,13523,13104,12524,11497,13104
1969,25712,20063,19938,19911,19915,19894,20058,20096,20598,21055,20096
1970,16055,15821,16132,15633,15382,13103,15825,15849,17351,16517,15849
1971,27439,23982,23982,23982,23982,23982,23982,23982,24075,24212,23982
1972,28009,25201,25208,25201,25201,25208,25208,25201,25148,25148,25201
1973,11835,12537,12123,12517,11923,9767,12537,12440,11194,9696,12440
1974,26082,22846,23014,22975,22946,22989,22849,22846,23111,23691,22846
1975,20901,19448,19304,19082,19121,18577,19477,19448,20230,20179,19448
1976,25167,19429,19360,19330,19359,19173,19432,19429,19202,19612,19429
1977,18388,14775,15060,14357,14461,14286,14858,14589,14017,13273,14589
1978,15325,15252,15166,14027,14073,12835,15251,14208,13885,12268,14208
1979,23231,18885,18762,18885,18753,18759,18888,18885,19357,20228,18885
1980,14168,14576,13734,13754,13408,11599,14453,14092,14408,13968,14092
1981,20913,16785,16610,15811,16719,16359,16865,16704,17494,17144,16704
1982,18905,16980,17184,16584,16717,16550,16965,16696,18262,18955,16696
1983,20015,18109,16835,16495,16435,16205,18116,18115,18510,18851,18115
1984,29980,27421,27389,27452,27406,27454,27423,27420,27415,27226,27420
1985,19728,15730,16591,15353,16315,15132,15736,16642,18203,17888,16642
1986,15912,15892,16050,15109,15311,13333,15893,16043,16886,16439,16043
1987,10539,12265,11503,12393,11513,9503,12264,12265,12123,10624,12265
1988,27263,23062,22256,22309,22269,22269,23059,23062,21888,22698,23062
1989,18585,16005,16644,15279,16386,14677,16023,16583,17679,17359,16583
1990,17391,15415,16220,15197,16013,13850,15543,16306,16895,16563,16306
1991,22663,18543,17767,17385,17607,17546,18542,18637,18675,19324,18637
1992,7751,11169,10778,12045,11361,8405,11169,11398,10314,10189,11398
1993,43297,39248,39253,39248,39248,39253,39253,39248,38794,38657,39248
1994,11093,11755,11348,11879,11464,9112,11755,11784,11340,10072,11784
1995,20482,19202,18742,18988,18147,17623,19122,19203,19039,20021,19203
1996,23965,19333,19331,18992,18664,18690,19333,19333,19714,21301,19333
1997,20833,18078,17673,17630,17215,17211,18078,18078,18378,19685,18078
1998,20027,18219,17120,16703,17370,15118,18251,18219,18404,18595,18219
1999,26161,21684,21509,21490,21495,21492,21687,21824,20869,21128,21824
2000,21711,18299,17611,18004,17455,17402,18297,18253,18595,19686,18253
2001,17443,14489,13945,13021,14447,11394,14121,13302,12789,11577,13302
2002,15975,15490,15771,14449,15703,13903,15478,15785,16521,16082,15785
2003,16281,15978,16375,14406,14971,14231,15992,16251,17759,18717,16251
2004,15487,14111,14405,13896,14150,12344,14126,14111,14282,13992,14111
2005,21746,17600,16664,15578,16774,15731,17610,17609,17737,17765,17609
2006,20367,15978,16040,14968,16151,15053,15981,16560,17627,17664,16560
2007,12507,13217,13286,14453,13286,11528,13195,12758,13277,13304,12758
