"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,4151,9288,9288,9288,9288,9288,9288,9288,9287,9287,9288
1930,3200,3915,3916,3915,3915,3916,3884,3915,3345,3345,3915
1931,3197,6214,6215,6353,6272,8307,6242,6258,7094,8286,6258
1932,6508,8319,8319,8408,8320,12060,8319,8318,9432,9401,8318
1933,10000,10801,10794,10801,10793,10801,10801,10801,10807,10807,10801
1934,5755,10043,10043,10043,10043,10043,10043,10043,9628,9628,10043
1935,18204,19285,19271,19285,19285,19271,19271,19285,19581,19581,19285
1936,3947,7907,7910,7907,7907,7910,7910,7907,7045,6835,7907
1937,3138,5418,5421,5418,5418,5421,5421,5418,4324,4120,5418
1938,7494,14388,14401,14388,14388,15827,15827,14389,13895,13895,14389
1939,9215,11311,11311,11311,11311,11311,11311,11311,11322,11322,11311
1940,3661,5137,5113,5176,5105,5187,5108,5121,4289,4287,5121
1941,8533,9090,9090,9090,9090,9090,9090,9090,8300,8235,9090
1942,11262,11775,11851,11837,11857,12830,11805,11847,11588,11533,11847
1943,15862,11838,11838,11838,11838,11838,11838,11838,13261,13261,11838
1944,8917,10730,10730,10730,10730,10730,10730,10730,10717,10717,10730
1945,5103,6735,6683,7133,7133,7133,7133,7133,7131,7131,7133
1946,6246,12621,11794,12621,13304,13316,12730,12643,12442,11657,12643
1947,9972,13945,13945,13945,13945,13945,13945,13945,14977,14977,13945
1948,13071,11646,11714,11646,11646,11713,11714,11646,12017,12018,11646
1949,9856,10062,10062,10062,10062,10062,10062,10062,10068,10068,10062
1950,4923,12783,12260,12783,10794,12796,11593,12249,11770,11093,12249
1951,23546,18530,18530,18530,18530,18530,18530,18530,19754,19754,18530
1952,10447,19210,18448,18755,18764,18791,18785,18089,17473,17784,18089
1953,3535,8693,8403,8693,8691,8696,8603,8693,8140,8140,8693
1954,5650,12521,11832,12521,11904,13709,12484,13205,13227,13227,13205
1955,5742,11438,11438,11438,11438,11438,11438,11438,12337,12337,11438
1956,17106,23415,23408,23415,23415,23407,23408,23415,24566,24566,23415
1957,10210,12499,12500,12499,12499,12500,12500,12499,12520,12520,12499
1958,3960,11453,10688,11453,11467,12001,10750,10742,9679,9622,10742
1959,9570,14023,14023,14023,14023,14023,14023,14023,14993,14992,14023
1960,6762,9832,9832,9832,9832,9832,9832,9831,9781,9781,9831
1961,7011,13348,13362,13348,12572,14000,13361,12573,13167,13157,12573
1962,7773,12949,12949,12949,12949,12949,12949,12949,13200,13200,12949
1963,6498,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674
1964,10772,13166,13166,13166,13166,13166,13166,13166,14087,14087,13166
1965,5425,11173,11180,11556,11175,11556,11556,11175,11036,11036,11175
1966,5511,8080,8080,8080,8080,8080,8080,8080,8068,8068,8080
1967,4786,8263,8294,9080,8288,12384,9127,8261,8012,8042,8261
1968,7941,14206,14208,14206,14206,14207,14208,14206,14185,14206,14206
1969,19568,15902,15896,15902,15902,15896,15896,15902,17375,17375,15902
1970,6970,8320,8322,8320,8320,8322,8322,8320,8056,8056,8320
1971,7320,10370,10271,10741,10250,14604,10771,10233,10251,10251,10233
1972,15878,18776,18777,18776,18776,18777,18777,18776,18776,18776,18776
1973,6230,6981,6981,6981,6981,6981,6981,6981,6985,6985,6981
1974,21941,17101,17144,17107,17176,20670,17094,17107,20821,20854,17107
1975,4792,12130,10977,11812,10969,12820,11727,10830,11659,11322,10830
1976,15769,12613,12611,12613,12613,12611,12611,12613,13450,13450,12613
1977,4396,4398,4398,4398,4398,4398,4398,4398,4395,4395,4398
1978,12540,11734,11734,11734,11734,11734,11734,11734,10500,10500,11734
1979,4247,8185,8217,9991,9022,9991,8243,9762,9972,9972,9762
1980,7474,13671,13672,13671,13671,13672,13672,13671,11574,12378,13671
1981,4880,8152,9359,8623,9282,11357,9315,8174,8119,8150,8174
1982,6616,13651,12827,13656,13654,14924,13661,13654,13188,12983,13654
1983,9653,17633,16656,17614,17624,17689,17679,17678,17624,17624,17678
1984,13795,12830,12830,12830,12830,12830,12830,12830,13785,13785,12830
1985,11809,10687,10687,10687,10687,10687,10687,10687,10951,10951,10687
1986,12608,14883,14883,14883,14883,14883,14883,14883,14880,14879,14883
1987,10183,13295,14419,15887,13793,16123,14537,13034,11878,11151,13034
1988,2973,4800,5114,4943,5153,9218,5191,4764,5824,5858,4764
1989,10221,11791,11791,11791,11791,11791,11791,11791,12661,12661,11791
1990,4933,7747,7747,7747,7747,7747,7747,7747,7734,7734,7747
1991,11679,11688,11688,11688,11688,11688,11688,11688,11689,11689,11688
1992,8374,10117,10029,10117,10029,10029,10117,10117,8823,8731,10117
1993,11139,10000,9998,9960,9999,11239,9999,10006,12131,12131,10006
1994,2979,8021,8022,8021,8021,8022,8022,8021,7682,7682,8021
1995,18512,14768,14768,14768,14768,14768,14768,14768,16416,16416,14768
1996,6115,12633,12701,13947,12588,14501,12712,12657,11839,11836,12657
1997,10985,20032,20034,19373,19579,19412,19400,19783,16617,16387,19783
1998,10245,16261,16262,16261,16261,16262,16262,16261,16261,16261,16261
1999,6817,12495,13171,12469,12912,14590,12454,12487,12739,12686,12487
2000,5825,11431,11522,11460,11514,13622,12527,11431,12264,12561,11431
2001,4518,7212,7212,7212,7212,7212,7212,7212,6780,6780,7212
2002,5437,7903,7904,7903,7903,11705,7906,7891,9657,9141,7891
2003,2558,4793,4812,4794,4812,4817,4812,4812,3964,3979,4812
2004,3589,7525,7525,7647,7527,11432,8028,7525,6418,6409,7525
2005,7074,7496,7496,7496,7496,7496,7496,7496,7490,7490,7496
2006,10137,14310,14288,14310,14297,14310,14275,14296,14287,14251,14296
2007,13737,11379,11379,11379,11379,11379,11379,11379,11778,11778,11379
