"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1995,12630,16488,17031,14129,15081,12581,16490,16503,18368,17383,16503
1996,15922,15278,16897,14425,14969,13735,15287,16391,18125,19576,16391
1997,14896,15509,16684,14872,14873,14870,15508,15509,17352,19087,15509
1998,15473,14124,14594,14682,14770,12115,14098,14154,14238,14044,14154
1999,25930,23313,23520,23682,23491,23684,23315,23003,22977,22917,23003
