"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1995,128395,106149,106144,106149,106149,106145,106144,106148,105795,105794,106148
1996,240058,196582,196550,196604,196610,196498,196617,196477,196735,196266,196477
1997,201463,183543,184175,183543,185002,183397,185097,184065,183543,184065,184065
1998,97896,84487,84483,84487,84487,84483,84483,84487,84487,84487,84487
1999,150984,119545,119350,119545,119348,119572,119539,119594,119550,119565,119594
