"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,38906,28318,28318,28318,28318,28318,28318,28318,28692,28692,28318
1930,56728,44968,44942,44968,44968,45289,44942,44968,45961,45961,44968
1931,116854,79328,79169,79328,79328,79169,79169,79328,80973,80973,79328
1932,107426,85111,84973,85111,85111,84974,84973,85111,80687,80687,85111
1933,25961,22688,24189,23892,24186,24222,22688,22688,22995,22332,22688
1934,34737,20289,20289,20289,20289,20289,20289,20289,19866,19866,20289
1935,19147,20162,20170,20162,20162,20170,20170,20162,19359,19359,20162
1936,46419,34120,34044,34120,34120,34044,34044,34120,34111,34111,34120
1937,113361,98286,98303,98286,98286,98303,98303,98286,93255,93255,98286
1938,87221,85857,85817,85857,85855,85819,85817,85855,80429,80429,85855
1939,55224,41459,41071,42053,41154,44892,41398,41458,40118,41065,41458
1940,75807,61215,61120,61215,61215,64485,61120,61215,60734,60734,61215
1941,13730,9264,9297,9264,9295,9668,9262,9264,9746,9871,9264
1942,49786,36957,37050,36957,37097,39237,36909,36957,38250,38452,36957
1943,72202,71514,71490,71514,71513,71491,71490,71512,70053,70052,71512
1944,30137,20873,20836,20873,20873,20836,20836,20873,21096,21627,20873
1945,76484,64406,64386,64406,64406,64386,64386,64406,61996,61996,64406
1946,53011,43109,45599,44445,45427,46265,43262,43109,43257,42868,43109
1947,50043,49944,49901,49944,49944,49901,49901,49944,48852,48852,49944
1948,93294,61468,60882,61468,61467,60883,60882,61467,60890,60889,61467
1949,126420,99193,99097,99193,99193,99097,99097,99193,100067,100067,99193
1950,65041,55458,55441,55517,55517,55441,55383,55419,54299,54210,55419
1951,81038,68039,69797,70782,69555,72777,67929,68038,68132,67361,68038
1952,93684,76519,76477,76519,76519,76477,76477,76519,75785,75785,76519
1953,109411,98789,99071,98789,99044,98857,97400,98191,97100,96530,98191
1954,54255,57891,57840,57891,57891,57962,57840,57891,57393,57393,57891
1955,43484,36546,36548,36546,36546,36548,36548,36546,35850,35850,36546
1956,43642,33647,33642,33647,33647,33642,33642,33647,33554,33554,33647
1957,102830,91294,92304,92669,92190,93545,91274,91292,90610,90607,91292
