"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1958,102379,81916,81856,81916,81915,82391,81856,81915,80815,80814,81915
1959,56058,44469,44393,44469,44469,46459,44393,44469,43603,43603,44469
1960,77747,64568,64485,64568,64568,64485,64485,64568,65200,65200,64568
1961,170793,143019,145142,144780,145237,145202,142525,142651,142745,141539,142651
1962,82394,67208,67100,67208,67208,67101,67100,67208,63411,63411,67208
1963,86842,71038,71001,71038,71038,71001,71001,71038,69478,69477,71038
1964,34431,39980,39946,39980,39980,39946,39946,39980,39068,39068,39980
1965,70659,81345,81406,81361,81623,82852,81194,82542,82667,82379,82542
1966,62783,46317,46212,46317,46317,48323,46212,46317,43819,43819,46317
1967,34640,43177,43175,43177,43178,44167,43176,43178,42736,43870,43178
1968,105974,78046,77767,78189,77858,80699,77787,78002,78909,80338,78002
1969,44943,40599,40586,40599,40599,40586,40586,40599,39604,39604,40599
1970,44633,59421,60211,59421,60415,61691,59615,59150,58935,59746,59150
1971,44646,39868,39862,39868,39868,39862,39862,39868,40230,40230,39868
1972,133027,111195,111203,111195,111141,111094,111139,111207,111219,111256,111207
1973,12034,9385,9385,9385,9385,9385,9385,9385,8495,8495,9385
1974,58524,55970,56360,56356,56335,56349,55992,55957,56564,55177,55957
1975,50096,44379,45377,45000,45344,47062,44390,44379,42840,42840,44379
1976,48666,39477,39480,39477,39477,39480,39480,39477,39093,39093,39477
1977,33429,23518,23518,23518,23518,23518,23518,23518,23233,23233,23518
1978,42647,35517,35445,35543,35503,35668,35295,35371,36722,36361,35371
1979,80545,64523,64301,64523,64522,64301,64301,64522,64528,64528,64522
1980,29767,24830,24826,24830,24830,24826,24826,24830,24125,24125,24830
1981,72103,46594,46530,46594,46594,46530,46530,46594,47047,47047,46594
1982,138201,110567,109487,110567,110250,109502,109384,109547,109439,108810,109547
1983,100028,85802,87896,87984,87943,87984,85766,85801,83146,82872,85801
1984,96227,71826,71754,71826,71826,71754,71754,71826,68690,68689,71826
1985,31458,23800,23800,23800,23800,23800,23800,23800,23979,23979,23800
1986,156916,123009,123691,123374,123729,126401,122888,123008,123445,123535,123008
1987,68532,60698,60957,60699,61041,63329,61141,60698,62386,63880,60698
1988,28302,22952,22866,22952,22952,22866,22866,22952,23001,23001,22952
1989,52123,42917,42887,42917,42917,42887,42887,42917,41421,41421,42917
1990,42304,34536,33767,34546,33799,37767,34508,34536,34683,35165,34536
1991,42697,33583,33491,33583,33583,33491,33491,33583,32696,32696,33583
1992,57941,36752,36907,36752,36907,37301,36752,36752,37638,37800,36752
1993,88053,73111,72986,73111,73106,72977,72986,73086,69364,69130,73086
1994,53268,35408,35407,35408,35408,35407,35407,35408,35355,35355,35408
1995,79593,64923,65167,64923,65190,65688,65041,65190,63364,63630,65190
1996,222562,182074,182048,182096,182109,181997,182108,181969,181722,181270,181969
1997,78438,67024,68105,67689,67443,67474,66106,67243,67018,66743,67243
1998,36014,24201,26082,25812,26153,28373,24170,24201,24543,24774,24201
1999,79925,71420,72056,72320,72089,72271,71319,71231,69896,68918,71231
2000,34334,24071,25297,25066,25320,26212,24047,24071,24607,23983,24071
2001,20094,9132,9134,9132,9134,9132,9132,9132,8604,8603,9132
2002,44871,39538,41208,39542,41301,41209,39548,39410,34638,34334,39410
2003,64636,62411,62361,62411,62412,62359,62361,62412,61171,61172,62412
2004,49681,52914,52868,52921,52917,55327,52859,52914,52559,52559,52914
2005,50960,28112,28112,28112,28112,28112,28112,28112,28134,28162,28112
2006,76547,75157,76407,75157,76479,75364,76266,76435,74456,75651,76435
2007,54991,34580,34514,34580,34580,34514,34514,34580,34870,34870,34580
