"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
2001,24876,16404,17103,16403,16518,16403,16404,16404,15567,15390,16404
2002,66020,54629,56299,54633,56392,56300,54639,54501,50589,50286,54501
2003,46269,39871,39881,39871,39871,39881,39881,39871,37857,37857,39871
2004,25590,18279,18148,17429,17900,17151,18285,18279,18373,18408,18279
2005,34392,22344,22327,22344,22327,22327,22344,22344,22386,22396,22344
